,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.40551397,0.17344825,0.24189743,0.4539973,0.26125383,0.0,0.4889085,0.0781236,1.0,0.35712993,0.3208819,0.4228949,0.54843765,0.0,0.29887506,0.33145013,0.39596406,0.101169966,0.28768668,0.19336547,tbhxcbza_6.png,angry
1,0.32571128,0.19724798,0.52647465,0.40475747,0.30790657,0.0,0.4280326,0.21864688,1.0,0.23393826,0.4828636,0.35526955,0.27133077,1.0,0.481494,0.3544094,0.9990915,0.44567475,0.038129594,0.36363688,zdzxvhjb_6.png,angry
2,0.38947755,0.33314928,0.45515785,0.26912975,0.54302686,1.0,0.48811722,0.27373064,1.0,0.7004303,0.5184598,0.50610703,0.287018,1.0,0.4849301,0.025718756,0.98958325,0.7456903,0.32772812,0.44232225,qaaaaaaa_6.png,angry
3,0.357501,0.15666704,0.3238281,0.31439486,0.3002183,0.0,0.34538874,0.034347784,0.0,0.19015893,0.6312537,0.39366293,0.4316308,1.0,0.44347847,0.14720465,0.9905295,0.52907085,0.12876037,0.3696109,pxswopif_6.png,angry
4,0.37433907,0.28749555,0.69371516,0.28619397,0.2873663,1.0,0.47606295,0.13748777,0.0,0.16369452,0.28777283,0.4468169,0.44892043,1.0,0.70677555,0.49544176,0.32055825,0.3248135,0.310236,0.71808815,nmkkpqag_6.png,angry
5,0.3819432,0.13710113,0.8191111,0.23306778,0.37931654,1.0,0.6904032,0.6221618,1.0,0.28760758,0.35456094,0.17999664,0.28484523,1.0,0.22783408,0.024419904,0.999833,0.85429883,0.023864636,0.6689007,dlqnfuhe_6.png,angry
6,0.40655252,0.26784873,0.15452705,0.35317355,0.1250117,0.0,0.3423293,0.08653828,1.0,0.20131288,0.40376776,0.09356284,0.3304651,0.0,0.49051592,0.40738958,0.30489615,0.37160105,0.553083,0.39878657,rmulxejr_6.png,angry
7,0.4362219,0.22573179,0.24150468,0.4261593,0.19943635,0.0,0.31900832,0.1284403,1.0,0.108963326,0.33555132,0.40707356,0.38822484,1.0,0.5866257,0.1395954,0.9980527,0.6320477,0.029843416,0.59454364,jrqecequ_6.png,angry
8,0.3639335,0.2675444,0.6221671,0.3266821,0.30785695,1.0,0.47044703,0.93439627,0.0,0.31258377,0.43279073,0.13953991,0.38671723,0.0,0.7623471,0.23141815,0.58634084,0.14967072,0.31265914,0.51848704,aslknmnm_6.png,angry
9,0.30934757,0.29542685,0.41332376,0.31938654,0.1554005,0.0,0.37652093,0.0488841,1.0,0.060679078,0.59993184,0.08728173,0.4660661,0.0,0.35503465,0.45297346,0.9237895,0.11562642,0.25024736,0.13582087,kehgoqtf_6.png,angry
10,0.38620722,0.3720267,0.6901754,0.2693325,0.42133796,1.0,0.61599016,0.344374,0.0,0.17677434,0.7662916,0.5791354,0.50450194,0.0,0.5140479,0.5241505,0.14163724,0.14267516,0.05689478,0.50802714,nwjandkw_6.png,angry
11,0.17581931,0.16552533,0.53857607,0.27477363,0.6637742,1.0,0.60824287,0.10760388,1.0,0.73363924,0.3134854,0.3216268,0.39402568,1.0,0.25862026,0.4179184,0.99350995,0.47914243,0.024759099,0.5618158,advjljth_6.png,angry
12,0.46025127,0.34009016,0.43099347,0.55565,0.07959005,0.0,0.23189563,0.096042044,1.0,0.042362113,0.513373,0.7584288,0.38594636,0.0,0.66140157,0.30834714,0.9849438,0.36446363,0.049103785,0.30599898,hcefsoyr_6.png,angry
13,0.24578524,0.23464218,0.3838619,0.3891504,0.15171212,0.0,0.23927253,0.2800559,1.0,0.1442269,0.5480393,0.31977683,0.43657142,0.0,0.2974413,0.40716946,0.8466284,0.13423519,0.0472287,0.040927235,nivowqgk_6.png,angry
14,0.53003144,0.2851414,0.5990901,0.3975309,0.29469904,0.0,0.4618721,0.012573672,1.0,0.2894331,0.18892781,0.061092414,0.346787,1.0,0.6494674,0.20176707,0.9164225,0.12678327,0.2348243,0.186944,vrdctlwb_6.png,angry
15,0.40036792,0.31673124,0.49291322,0.29328448,0.31950217,0.0,0.57492447,0.06203122,1.0,0.14054066,0.6274909,0.26916647,0.43222663,1.0,0.5793916,0.5022713,0.6439222,0.18171892,0.17655483,0.18378018,oayicbck_6.png,angry
16,0.2892713,0.28499353,0.33009362,0.42252898,0.11420167,1.0,0.49570692,0.27120256,0.0,0.096747205,0.64429396,0.31020188,0.40092352,1.0,0.6078871,0.4341073,0.9630589,0.12196414,0.5839864,0.22005014,andtcvhp_6.png,angry
17,0.25690922,0.24982214,0.90506786,0.23484474,0.43596599,0.0,0.3753816,0.03339478,1.0,0.5834003,0.40676448,0.39212152,0.33033222,1.0,0.47899538,0.07374104,0.9978357,0.6734442,0.018415567,0.6577493,bfsobsqq_6.png,angry
18,0.24831517,0.30289808,0.45246515,0.26747257,0.39903295,0.0,0.27136302,0.2574645,0.0,0.32171482,0.58313656,0.38767344,0.45971596,0.0,0.21494855,0.68950516,0.009054293,0.034620203,0.26223338,0.21481569,dxetvmdg_6.png,angry
19,0.40258995,0.26198173,0.6855997,0.32670158,0.19892803,1.0,0.67664313,0.064019784,0.0,0.1936646,0.19022565,0.5236397,0.56393754,1.0,0.34807184,0.31698173,0.052594785,0.12467389,0.047529854,0.53019047,mszswsaa_6.png,angry
20,0.43780407,0.3656511,0.80842733,0.23787628,0.55765295,1.0,0.58040565,0.43924528,1.0,0.6680488,0.46056026,0.29013318,0.23042683,1.0,0.44845685,0.019992486,0.999964,0.63521004,0.15573563,0.40307453,ijijoijo_6.png,angry
21,0.29700837,0.39694595,0.32016292,0.30499312,0.2818979,0.0,0.47401643,0.016446766,1.0,0.234816,0.3257051,0.16205539,0.38337225,0.0,0.666808,0.18596402,0.4742738,0.10876534,0.058549695,0.5379119,tlrnfwgj_6.png,angry
22,0.4010314,0.2373254,0.68922794,0.30701166,0.4959789,1.0,0.4856415,0.9501812,1.0,0.36351898,0.40516376,0.23395124,0.25841656,1.0,0.74997246,0.040807765,0.99965227,0.7315366,0.04207138,0.69527084,bbbbbbbb_6.png,angry
23,0.26664042,0.12487073,0.32666722,0.34857413,0.11457434,0.0,0.26789775,0.045205094,0.0,0.05132181,0.08296833,0.09530579,0.3822875,0.0,0.37049583,0.2731495,0.48042035,0.24765272,0.8101964,0.17995642,zsnwtxlx_6.png,angry
24,0.26669693,0.22689639,0.6054487,0.29835048,0.40876654,0.0,0.57463413,0.55147326,1.0,0.54988384,0.647728,0.2799646,0.35353222,1.0,0.48170906,0.074118756,0.999435,0.5967226,0.11086812,0.20480658,yvfatixr_6.png,angry
25,0.32973692,0.26043326,0.62774736,0.28350145,0.26407266,0.0,0.35569516,0.3120419,0.0,0.11634872,0.44265753,0.046564523,0.3241573,0.0,0.18065271,0.34004202,0.20482637,0.1255602,0.22234361,0.2550958,haapovkb_6.png,angry
26,0.33615962,0.5372317,0.60866946,0.39097264,0.5444223,1.0,0.5768791,0.44034576,1.0,0.63817173,0.3831383,0.21160957,0.24079789,1.0,0.4217356,0.013677019,0.9998185,0.683123,0.031929195,0.339656,zoghefwq_6.png,angry
27,0.47250706,0.18339744,0.33526725,0.34190354,0.15147075,0.0,0.24815741,0.2241642,1.0,0.10207595,0.5346172,0.43123645,0.45788246,0.0,0.41408285,0.4975969,0.869652,0.13574323,0.23313428,0.15072396,nlhunkeq_6.png,angry
28,0.39523834,0.3073708,0.7191339,0.28362012,0.6018263,1.0,0.70327836,0.6697162,0.0,0.31390354,0.5839699,0.5676735,0.39729512,1.0,0.3648138,0.22169854,0.97034776,0.32765427,0.102618314,0.7397462,yukggygi_6.png,angry
29,0.40914664,0.36576226,0.24335888,0.3183021,0.2782248,0.0,0.45370224,0.85657907,0.0,0.27657565,0.3323888,0.62074983,0.3749017,1.0,0.38727197,0.06556755,0.9997211,0.700802,0.13495721,0.38791573,uczqqnun_6.png,angry
