,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.29727498,0.2719,0.24356773,0.41719863,0.09801801,0.0,0.23141424,0.61758167,1.0,0.07680798,0.26247516,0.22983505,0.49493897,0.0,0.4918914,0.4378447,0.18787493,0.33183703,0.2988701,0.4632842,driqhfkm_5.png,disgust
1,0.4696944,0.27614504,0.55257547,0.33574656,0.2629844,0.0,0.5031646,0.29782137,0.0,0.12606819,0.56562585,0.52400607,0.49617252,0.0,0.5687752,0.43730634,0.11289682,0.12485601,0.5340245,0.16848072,trnixglx_5.png,disgust
2,0.3439261,0.43519038,0.05591057,0.46771893,0.18586284,1.0,0.34768313,0.0029288451,0.0,0.089488104,0.46076742,0.34659025,0.5402514,0.0,0.6616614,0.4603371,0.018829113,0.029772297,0.13995326,0.14690751,drqaxgli_5.png,disgust
3,0.29605,0.23913372,0.18771686,0.35460708,0.18381749,1.0,0.20649056,0.5587491,1.0,0.12633856,0.42498815,0.31292242,0.33946633,0.0,0.237011,0.278235,0.028828062,0.096886925,0.0743693,0.13385524,ewxovpyu_5.png,disgust
4,0.23512009,0.20090656,0.6086614,0.3572615,0.07533538,0.0,0.252637,0.0014276278,1.0,0.023688171,0.28280935,0.59725654,0.47103074,0.0,0.68835527,0.30460954,0.9410819,0.15915155,0.031725675,0.10989818,ihpptwuq_5.png,disgust
5,0.22055687,0.10099773,0.57955766,0.28597075,0.27081916,1.0,0.4272387,0.4531509,0.0,0.17627026,0.37943414,0.042883087,0.40240666,1.0,0.37663287,0.55481863,0.35581857,0.07708565,0.7674862,0.5798013,oqijknmk_5.png,disgust
6,0.25430965,0.18025118,0.28588495,0.3312278,0.18055175,0.0,0.27255696,0.41602844,1.0,0.061441362,0.35823023,0.18992952,0.4006964,0.0,0.19917232,0.51066,0.15452178,0.09439058,0.058134582,0.12695283,efpevwxc_5.png,disgust
7,0.34643418,0.28713733,0.33137003,0.3438526,0.21846135,1.0,0.48330674,0.092407994,0.0,0.18903562,0.39192897,0.13281348,0.45380336,0.0,0.40150803,0.37962982,0.021160254,0.15056008,0.48905656,0.49181783,ahdmclwl_5.png,disgust
8,0.27276114,0.23437491,0.22179176,0.44155356,0.13385692,0.0,0.14067249,0.0604537,0.0,0.107749976,0.5416295,0.13103952,0.38390774,0.0,0.5620086,0.5391992,0.21803276,0.2329156,0.050802324,0.110443585,eiwosjdk_5.png,disgust
9,0.30100882,0.15430947,0.41895297,0.3430412,0.3222911,1.0,0.41485932,0.039083898,1.0,0.45705512,0.3938188,0.5485038,0.41440523,0.0,0.39503953,0.41085875,0.020836322,0.035380635,0.37504214,0.21803178,ldrdzvuu_5.png,disgust
10,0.22796397,0.17907302,0.244271,0.3701235,0.12843426,0.0,0.31768265,0.11435596,0.0,0.14574155,0.15542921,0.03543815,0.43015754,0.0,0.63132346,0.3678814,0.905337,0.3260774,0.116400525,0.24828027,ierydzqw_5.png,disgust
11,0.34963664,0.2891249,0.20538688,0.7354196,0.06775184,0.0,0.15431397,0.0069238455,1.0,0.059298206,0.2602715,0.45085946,0.3939533,0.0,0.24918246,0.3142314,0.080093,0.23788807,0.15608247,0.060190994,vzesjbbl_5.png,disgust
12,0.40144402,0.28216568,0.38615915,0.40193212,0.05655923,0.0,0.112897545,0.012930737,0.0,0.031855326,0.23303087,0.30578756,0.46246842,0.0,0.3449252,0.20180129,0.8537575,0.11209259,0.07119055,0.054286804,oenweyqf_5.png,disgust
13,0.4346429,0.30994016,0.5985544,0.36495334,0.27979305,1.0,0.5113839,0.0033157363,0.0,0.3103677,0.17633997,0.124043845,0.55608904,0.0,0.33148986,0.56906354,0.011809147,0.053391594,0.37777922,0.54892415,hyjlafan_5.png,disgust
14,0.31568828,0.16350186,0.3169617,0.64905286,0.06015717,0.0,0.13091686,0.001735008,0.0,0.023783876,0.18504204,0.24140231,0.41365463,0.0,0.25600234,0.16578363,0.28300208,0.0691686,0.030059284,0.06452548,uayynxyx_5.png,disgust
15,0.28958562,0.20733084,0.18645835,0.4442548,0.084956914,0.0,0.12764217,0.00010860633,0.0,0.022478485,0.18577702,0.08059717,0.46920985,0.0,0.26578978,0.46061075,0.019882794,0.11171533,0.047445085,0.055450145,pqwjdnfm_5.png,disgust
16,0.41793865,0.24177252,0.5816159,0.32421824,0.11957062,0.0,0.25006494,0.007723572,0.0,0.073929645,0.40650555,0.151605,0.47797474,0.0,0.44209805,0.21090975,0.06180395,0.06513443,0.31270096,0.15420404,zluqofnj_5.png,disgust
17,0.43391895,0.16969147,0.51626325,0.43618897,0.0650008,0.0,0.097289905,0.008573035,0.0,0.015363906,0.16356309,0.14187224,0.4330028,0.0,0.24088466,0.10696123,0.33156654,0.17846233,0.06762658,0.067360245,wzztqoql_5.png,disgust
18,0.27289775,0.27305776,0.5558978,0.34008518,0.23112541,0.0,0.4226463,0.0095133735,0.0,0.27795818,0.5203278,0.13312103,0.34758288,0.0,0.61323303,0.6369139,0.10385387,0.15690798,0.1706739,0.084944904,qwkfjsip_5.png,disgust
19,0.39617038,0.23200217,0.39563766,0.37046188,0.20602934,0.0,0.48038062,0.21298304,1.0,0.29599726,0.28614867,0.2738343,0.4057361,0.0,0.3375743,0.20094822,0.025943907,0.05346482,0.12247096,0.079882964,xeavphbl_5.png,disgust
20,0.22609667,0.18064354,0.2586257,0.35602295,0.16081305,1.0,0.21910225,0.22800829,0.0,0.0893472,0.31388268,0.43637356,0.54173476,0.0,0.4448799,0.5964332,0.22401702,0.24786538,0.12472811,0.08380303,bxiylnuw_5.png,disgust
21,0.31626856,0.16049555,0.58955604,0.28541115,0.31708336,1.0,0.2862673,0.8397158,1.0,0.15727171,0.17567664,0.27719215,0.36486313,1.0,0.6273695,0.26067224,0.9616743,0.47230798,0.14408962,0.29346704,wikmlrbh_5.png,disgust
22,0.23077418,0.17415531,0.22647929,0.29212853,0.15564534,1.0,0.40226027,0.04986515,1.0,0.18316704,0.36863357,0.047450554,0.35756946,0.0,0.39214018,0.37839338,0.41911,0.22875088,0.21751349,0.41107315,utjaixsg_5.png,disgust
23,0.30042917,0.34239614,0.2544606,0.3428288,0.13846497,1.0,0.39606974,0.24902216,1.0,0.109273925,0.4774871,0.14083073,0.4244296,0.0,0.43766546,0.43757498,0.018137958,0.10372452,0.6821707,0.44823316,wswpvoto_5.png,disgust
24,0.34315544,0.17748076,0.8370176,0.30992737,0.21613303,0.0,0.58203506,0.035619333,0.0,0.13502795,0.20682678,0.13062853,0.31966597,1.0,0.47196656,0.21914625,0.95985615,0.4785478,0.28313473,0.30162847,eatntmze_5.png,disgust
25,0.41386637,0.3345954,0.82997745,0.4556117,0.23158774,0.0,0.49135056,0.013644521,1.0,0.16074286,0.4993736,0.7028916,0.49236467,0.0,0.46957615,0.5373471,0.06366489,0.04483139,0.102939084,0.1377775,cewfzfuh_5.png,disgust
26,0.4271455,0.27411097,0.6433866,0.46824336,0.22377928,1.0,0.41575068,0.46147284,0.0,0.23552999,0.21940927,0.1079614,0.35782865,1.0,0.7341925,0.07171009,0.9931774,0.5592702,0.14226675,0.3455246,vnthlgyu_5.png,disgust
27,0.42456648,0.26138917,0.4372118,0.33383536,0.11149572,0.0,0.40359387,0.44204834,0.0,0.28695107,0.2759498,0.31447235,0.35285312,0.0,0.5513256,0.46894005,0.3007056,0.081947975,0.8570365,0.21559007,unrhndex_5.png,disgust
