,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.25055775,0.18102844,0.42293474,0.28627333,0.29353282,1.0,0.32732695,0.021933366,0.0,0.18645933,0.28588524,0.30117366,0.50266683,0.0,0.66891354,0.5335404,0.6991825,0.040589694,0.5920557,0.4619531,gkyikczg_4.png,fear
1,0.36435425,0.15742014,0.5989461,0.2528925,0.20535463,1.0,0.4849745,0.34893975,1.0,0.41042525,0.3200243,0.3864081,0.38080868,0.0,0.63576275,0.432525,0.1619007,0.11029622,0.52820635,0.39754897,popboqzp_4.png,fear
2,0.34615648,0.3324518,0.4127,0.35697097,0.30645585,1.0,0.3415897,0.011760988,0.0,0.08155384,0.2271568,0.24036197,0.5319235,0.0,0.7167392,0.29663375,0.19802924,0.11942223,0.10219914,0.22761878,olkydrza_4.png,fear
3,0.30188155,0.2984183,0.6801683,0.30661622,0.12159318,0.0,0.27580923,0.39918327,1.0,0.072480835,0.28192395,0.4267624,0.5832447,0.0,0.36533737,0.5780534,0.12533884,0.10740346,0.16075069,0.09334569,lzhxemve_4.png,fear
4,0.26426506,0.15236236,0.2604146,0.3903913,0.15415642,0.0,0.36639157,0.1655927,1.0,0.15001275,0.16558169,0.07671913,0.3593381,0.0,0.44477502,0.3355071,0.23642842,0.0884273,0.41471237,0.19715817,xurjmrkr_4.png,fear
5,0.4693022,0.2603092,0.40277076,0.3117043,0.2050236,1.0,0.34509245,0.07113193,0.0,0.18856962,0.35155505,0.075697765,0.3792865,0.0,0.44750842,0.4483605,0.0141706,0.23095009,0.4072883,0.52625304,iimkbovt_4.png,fear
6,0.26523793,0.20023507,0.28039992,0.30271322,0.3485011,0.0,0.28994247,0.14091484,0.0,0.20069085,0.47955713,0.17868525,0.50381577,0.0,0.45414576,0.45259,0.8328372,0.37527534,0.31064543,0.5157249,azdjnflr_4.png,fear
7,0.4169215,0.2704983,0.45734036,0.31914136,0.20215684,0.0,0.21360156,0.0012755503,0.0,0.089762144,0.20259213,0.11186541,0.37114725,0.0,0.5388509,0.44876227,0.9140421,0.24809507,0.22431219,0.16162865,qofjqgzd_4.png,fear
8,0.29899693,0.14271191,0.23535031,0.38672927,0.17506583,1.0,0.29420504,0.02143288,0.0,0.13470683,0.44204074,0.16985254,0.39914292,0.0,0.30023435,0.4581749,0.010236715,0.07450935,0.048206035,0.11946831,nxdrnpnp_4.png,fear
9,0.2548944,0.19633311,0.29946253,0.34843156,0.36778396,0.0,0.4017759,0.025468646,0.0,0.23740654,0.27659702,0.31002167,0.46943235,0.0,0.29532555,0.3715491,0.269015,0.1277771,0.74313813,0.7535323,hlpvgfan_4.png,fear
10,0.30326268,0.15880103,0.1232008,0.39413798,0.22198531,0.0,0.30602846,0.01733299,1.0,0.10055238,0.45826668,0.27968222,0.5394166,0.0,0.36406267,0.5516245,0.5970594,0.030918779,0.12979391,0.09836003,wbvcxzoj_4.png,fear
11,0.39324892,0.2365181,0.2693416,0.44341,0.18312055,0.0,0.3701314,0.60511017,0.0,0.17186186,0.52756983,0.2294942,0.48224658,0.0,0.6205221,0.4740723,0.84161836,0.074874334,0.24174623,0.13054147,ujcacmbh_4.png,fear
12,0.20903727,0.30061826,0.18318619,0.30542254,0.2839991,1.0,0.41890877,0.007225512,0.0,0.14350086,0.37835956,0.08571733,0.39238557,0.0,0.47327435,0.3069628,0.074161716,0.07738886,0.5603787,0.49084014,daeooohn_4.png,fear
13,0.23889637,0.22691968,0.29997683,0.33057874,0.49746743,1.0,0.51272476,0.15303993,0.0,0.500769,0.33837372,0.39659515,0.40461728,0.0,0.32960635,0.3337108,0.7940444,0.16334507,0.07743285,0.319852,hqwvrptm_4.png,fear
14,0.4122449,0.22630674,0.18307996,0.68504953,0.08988795,0.0,0.14686382,0.008403007,0.0,0.043846287,0.3146997,0.48232445,0.315493,0.0,0.4060319,0.2684966,0.41185603,0.22208206,0.103662424,0.13021179,ukaizipb_4.png,fear
15,0.31600812,0.2470046,0.27216074,0.3214882,0.25943872,0.0,0.26454377,0.01283352,0.0,0.09848945,0.30926964,0.3093078,0.494735,0.0,0.33852774,0.37057373,0.3713525,0.0998484,0.31763512,0.34725744,fkqbgcxd_4.png,fear
16,0.34597683,0.115461685,0.37436748,0.3182353,0.23280449,1.0,0.3654329,0.06460261,0.0,0.10961366,0.21702535,0.1087439,0.48211056,0.0,0.5661917,0.3892254,0.22504678,0.09586889,0.33621547,0.4799142,afmmkbmv_4.png,fear
17,0.27031717,0.17295974,0.1443563,0.3678485,0.18403889,0.0,0.24061784,0.0032062896,1.0,0.033166755,0.21805573,0.052894264,0.32072282,0.0,0.5925551,0.2517272,0.8223359,0.14007553,0.42310834,0.13612656,yfatfsqw_4.png,fear
18,0.37477586,0.2874171,0.60669076,0.31475168,0.16316,0.0,0.3365789,0.35963565,0.0,0.08667977,0.15142664,0.22332436,0.3818964,0.0,0.68823135,0.18351026,0.9454538,0.5152849,0.18199241,0.67248213,fumoytqb_4.png,fear
19,0.31072268,0.24439016,0.20801538,0.4448529,0.06636941,0.0,0.11385032,0.0010321726,1.0,0.02412925,0.23925152,0.12821218,0.5480354,0.0,0.2187067,0.3254694,0.4572861,0.13361481,0.048025206,0.041329924,gbtennfy_4.png,fear
20,0.2875268,0.18157168,0.30184054,0.4219985,0.17794956,1.0,0.22974506,0.06660272,0.0,0.039017655,0.100177824,0.20006266,0.42272308,0.0,0.37914798,0.23671806,0.027787989,0.06292682,0.2798668,0.28051725,ldmjspuq_4.png,fear
21,0.37843463,0.23616074,0.34380764,0.31179485,0.22602311,1.0,0.34033012,0.012087636,0.0,0.18576743,0.22846182,0.11879539,0.38897216,0.0,0.38866723,0.30494314,0.1494109,0.20296468,0.3563722,0.6626894,goxktaqb_4.png,fear
22,0.28741372,0.19920522,0.31951612,0.31962374,0.25806335,1.0,0.37638658,0.10839828,0.0,0.20162189,0.3287897,0.2977513,0.44788426,0.0,0.5721485,0.41548595,0.14894286,0.3317433,0.31632861,0.3611846,clenjojo_4.png,fear
23,0.3366148,0.20402844,0.38169843,0.30199102,0.3984019,0.0,0.32868385,0.29248333,0.0,0.42027843,0.5271986,0.44524074,0.47888455,1.0,0.31094894,0.4535794,0.79424036,0.14443497,0.15662707,0.124582924,qhycvmkg_4.png,fear
24,0.43560746,0.33452404,0.3769635,0.36430615,0.119448744,0.0,0.33942303,0.08225901,1.0,0.26513708,0.17028186,0.12863278,0.51110464,0.0,0.6773083,0.39203313,0.14860329,0.19861719,0.5135085,0.26041278,exxtqpvs_4.png,fear
25,0.29154262,0.269225,0.39149812,0.38079995,0.16354507,1.0,0.32814083,0.0125961,1.0,0.14498624,0.54394585,0.3965536,0.31791958,0.0,0.6254973,0.41679618,0.97067094,0.40923202,0.27554324,0.5042893,btyqkxcl_4.png,fear
26,0.40059292,0.23894148,0.57187593,0.3063349,0.34387895,0.0,0.4550033,0.2735405,0.0,0.46714112,0.5403821,0.20184016,0.49723,0.0,0.27168772,0.44306538,0.091644265,0.023683649,0.08451127,0.04095349,meiyobyj_4.png,fear
27,0.35182804,0.19206443,0.29014522,0.32199752,0.20749344,0.0,0.40541497,0.0083255675,1.0,0.10030976,0.11124981,0.12240594,0.46649188,0.0,0.38779932,0.333272,0.34799647,0.18482289,0.0697022,0.48489445,ajtuufvn_4.png,fear
28,0.42989016,0.25211635,0.5116056,0.31295633,0.22108088,1.0,0.42022276,0.098419145,0.0,0.14484869,0.21889614,0.22692835,0.43624547,0.0,0.42935073,0.34325853,0.37681848,0.044088986,0.42579347,0.5222305,dgcaqtes_4.png,fear
29,0.38257214,0.22183056,0.6257985,0.25444818,0.06598613,0.0,0.27714378,0.00274456,0.0,0.029508598,0.35360554,0.21244512,0.41170037,0.0,0.36511788,0.11655605,0.81819516,0.07674879,0.0313242,0.07516487,dbvsviiy_4.png,fear
30,0.3635864,0.41615963,0.42398706,0.30367354,0.19972964,0.0,0.30374202,0.28890592,0.0,0.1956401,0.2975199,0.53346074,0.44215578,0.0,0.62513113,0.43422887,0.16091359,0.098730914,0.3971502,0.18276064,hbtaudoz_4.png,fear
31,0.48105267,0.32869992,0.60425806,0.30717844,0.25144818,0.0,0.28423336,0.9868743,0.0,0.15846287,0.37513664,0.5277907,0.46713898,0.0,0.29447642,0.636259,0.06752567,0.06808702,0.45704508,0.26149917,evvxeiuw_4.png,fear
32,0.40557504,0.3852884,0.34664828,0.32519093,0.11137339,0.0,0.46111754,0.18365999,1.0,0.058188133,0.29280522,0.19365042,0.36893532,0.0,0.73978066,0.39352468,0.87689865,0.42519277,0.43562484,0.31615347,tasnkjwm_4.png,fear
33,0.23240201,0.2607284,0.48525316,0.30007693,0.20858513,1.0,0.2890142,0.02230267,0.0,0.11083685,0.1291266,0.21851383,0.5424705,0.0,0.3765949,0.6254649,0.7785522,0.15823834,0.15780824,0.2675293,sgnvqaog_4.png,fear
34,0.2763874,0.20102324,0.34483966,0.2812913,0.23338164,1.0,0.40035722,0.0070248446,0.0,0.08135566,0.33408707,0.08911116,0.46256456,0.0,0.33554694,0.46395373,0.04223706,0.13698032,0.15230535,0.08211518,gkocxvsy_4.png,fear
35,0.299902,0.15064794,0.569077,0.27848628,0.2604851,1.0,0.22669315,0.053247698,1.0,0.14538293,0.13569185,0.19415455,0.4129139,0.0,0.3614354,0.34524345,0.47181985,0.2640269,0.20528382,0.44204727,gakfxtzi_4.png,fear
36,0.27372968,0.12450261,0.2007511,0.3743819,0.12687317,1.0,0.22944412,0.8415356,1.0,0.068844244,0.1477087,0.36252004,0.53624487,0.0,0.2326464,0.2894051,0.20518313,0.073755406,0.10678593,0.06269792,irdjryzs_4.png,fear
