,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.41781098,0.39299908,0.6910357,0.3048622,0.42945683,0.0,0.5534923,0.036121923,1.0,0.67174286,0.3412267,0.34966892,0.4836479,0.0,0.36607364,0.25861415,0.08391236,0.07589847,0.10735844,0.77704644,toklnxdj_1.png,happy
1,0.513652,0.33705735,0.6535156,0.38807324,0.32538402,1.0,0.49774796,0.026796333,1.0,0.7399796,0.40085363,0.2486333,0.3901115,0.0,0.68576413,0.28239623,0.8898133,0.03750615,0.35607305,0.4476888,xromdsjh_1.png,happy
2,0.2880124,0.21241462,0.39595884,0.30750817,0.8246002,1.0,0.5330727,0.9056223,1.0,0.95528036,0.74420583,0.33693385,0.380283,0.0,0.37668976,0.33376297,0.9619459,0.055703882,0.46811,0.7825957,xpsdszck_1.png,happy
3,0.43592557,0.44585735,0.28315645,0.28944424,0.6722256,1.0,0.51199245,0.76535314,1.0,0.8080479,0.48437166,0.2446184,0.38540718,1.0,0.3665684,0.07883283,0.98534596,0.3940036,0.32020563,0.7763332,hlxoqnqz_1.png,happy
4,0.3595321,0.29457596,0.40627795,0.36191356,0.8650039,1.0,0.6956186,0.30183244,1.0,0.8238164,0.7949411,0.15358385,0.58469594,1.0,0.2962031,0.4815822,0.044521518,0.069902584,0.3900561,0.66786975,kuokyqxu_1.png,happy
5,0.4174384,0.40505695,0.5541333,0.37438568,0.8905058,1.0,0.73741966,0.04630563,1.0,0.8929443,0.731391,0.38242674,0.5407868,0.0,0.40602225,0.32812062,0.6537762,0.026747502,0.30697167,0.8335506,ijmdbknt_1.png,happy
6,0.277618,0.35339442,0.33369872,0.39068708,0.49198574,1.0,0.4473952,0.07586642,1.0,0.6822034,0.5022491,0.16330697,0.6039176,0.0,0.49305773,0.4247031,0.10672853,0.039085742,0.20110258,0.49192452,mpkcugyf_1.png,happy
7,0.48930797,0.38031918,0.71734685,0.349807,0.4590136,1.0,0.5490041,0.10846135,1.0,0.6998008,0.3879954,0.13246667,0.4220957,0.0,0.4217546,0.28949463,0.74991876,0.063128635,0.109876886,0.42547596,qmbvizmy_1.png,happy
8,0.30891356,0.31094682,0.47036764,0.24564621,0.19933395,1.0,0.5344981,0.0041326312,0.0,0.49943405,0.79585093,0.622226,0.55605286,0.0,0.6255785,0.7299772,0.074377306,0.16260083,0.67704695,0.76894134,dzuxppzd_1.png,happy
9,0.50341445,0.5523047,0.46953547,0.29674253,0.8870933,1.0,0.54864687,0.1337022,1.0,0.9442081,0.68470967,0.10012678,0.6606257,0.0,0.42113316,0.6895447,0.89736307,0.051266003,0.20565024,0.7399806,bmktgxva_1.png,happy
10,0.31199822,0.2779098,0.09719211,0.31925803,0.88695186,1.0,0.46716526,0.06833441,1.0,0.92671067,0.7463962,0.25390026,0.25780198,1.0,0.21583062,0.043340337,0.9809528,0.07476117,0.038913686,0.5047297,ipdjvfiu_1.png,happy
11,0.33915865,0.24220191,0.407598,0.2696738,0.53474927,0.0,0.47811162,0.32547295,1.0,0.67110157,0.7274547,0.6386884,0.4589222,1.0,0.3074277,0.64242387,0.011703931,0.06769745,0.43806618,0.7843892,qhbmryvn_1.png,happy
12,0.27168876,0.26820374,0.28266776,0.30524585,0.35281813,0.0,0.2807038,0.94385844,0.0,0.5123367,0.8448098,0.2386622,0.51384073,0.0,0.53875417,0.54816324,0.08887538,0.12865667,0.3980664,0.1388891,dmiacheq_1.png,happy
13,0.5045577,0.37305513,0.31217578,0.24200071,0.70281315,1.0,0.48507586,0.45082617,0.0,0.91113937,0.860844,0.19542603,0.60712373,1.0,0.6352598,0.57695735,0.04700684,0.19962984,0.46849966,0.7114578,cbetqlon_1.png,happy
14,0.38349938,0.3479602,0.3881983,0.2834847,0.3174891,1.0,0.44492945,0.00560801,1.0,0.52232456,0.50539905,0.26414597,0.4638464,0.0,0.6190874,0.49432474,0.09038134,0.15521193,0.78855866,0.5537185,kxdyoadq_1.png,happy
15,0.40746242,0.41423282,0.6707614,0.312623,0.58442116,1.0,0.549978,0.32459706,0.0,0.8125445,0.6774645,0.28527424,0.37009305,0.0,0.5738623,0.35233837,0.77447915,0.17035331,0.617601,0.84520864,hsnwuiwg_1.png,happy
16,0.3563401,0.30574986,0.7185246,0.2600899,0.84444433,1.0,0.6513831,0.051883955,0.0,0.8895524,0.5933423,0.3457971,0.5667348,0.0,0.4162258,0.3129003,0.9470478,0.047018304,0.43791524,0.8124503,blksjbpb_1.png,happy
