,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.29802164,0.1657294,0.22719191,0.2744722,0.3752704,0.0,0.3646539,0.0042319493,0.0,0.26441643,0.22046947,0.27218887,0.5417261,0.0,0.35603043,0.30370578,0.09579539,0.0311272,0.21876274,0.19268015,doaoiovv_0.png,neutral
1,0.60578275,0.6221973,0.17161037,0.72922885,0.061957624,0.0,0.1098971,0.0028405532,1.0,0.046809223,0.20454168,0.28614748,0.4535919,0.0,0.58399725,0.31485334,0.3799176,0.07993166,0.12263948,0.051997073,uriykxjr_0.png,neutral
2,0.36439267,0.322287,0.8479427,0.3117305,0.21195094,1.0,0.50569725,0.012265613,0.0,0.22503681,0.37001288,0.38960552,0.5513976,1.0,0.60671633,0.370961,0.45640457,0.08384963,0.28136098,0.83410496,aksndlkn_0.png,neutral
3,0.4893531,0.4855248,0.13826422,0.5506041,0.06382477,0.0,0.10566864,0.0035525716,0.0,0.030541636,0.2924244,0.09476022,0.43964487,0.0,0.65342873,0.2640633,0.080158435,0.062358268,0.031403188,0.053812195,aptzlpuo_0.png,neutral
4,0.34687808,0.21654539,0.40692687,0.35435602,0.33922493,0.0,0.30066383,0.021039635,1.0,0.2784836,0.43779346,0.4892848,0.5278751,0.0,0.28458098,0.55555683,0.34205765,0.15749437,0.08910459,0.16856079,fpyfqxgu_0.png,neutral
5,0.41771767,0.2450637,0.5925759,0.31092077,0.23058519,1.0,0.42401785,0.062865086,1.0,0.19304736,0.31981274,0.10969488,0.4245246,0.0,0.3590649,0.26963425,0.07520908,0.10753548,0.6236191,0.58079696,uebhszpa_0.png,neutral
6,0.38690907,0.1848612,0.31326076,0.31165773,0.46291548,1.0,0.43726978,0.4753548,0.0,0.37369925,0.32623288,0.15930387,0.5189893,0.0,0.37392202,0.3233294,0.69274235,0.08760476,0.2234311,0.20440806,ochviknh_0.png,neutral
7,0.28662983,0.24725324,0.20101927,0.32367158,0.2839726,0.0,0.28211388,0.19731894,1.0,0.30053964,0.63695604,0.5089495,0.48702657,0.0,0.5107205,0.66248274,0.058876283,0.07041737,0.054517396,0.19562483,ijflukat_0.png,neutral
8,0.34788635,0.36491796,0.08812433,0.43636,0.096011154,0.0,0.11039931,0.0007142795,1.0,0.0427924,0.19699717,0.07500952,0.49611124,0.0,0.2557469,0.53207207,0.1606935,0.12103365,0.113485456,0.059269182,aovjrrax_0.png,neutral
9,0.25927553,0.23837703,0.79103297,0.26844177,0.788399,1.0,0.7859159,0.96101165,1.0,0.722192,0.83246833,0.49990675,0.5758197,0.0,0.48406056,0.68361557,0.07603206,0.05078799,0.39141783,0.7405705,meoltjsh_0.png,neutral
10,0.3930055,0.3029491,0.7031156,0.30274507,0.19651319,1.0,0.47782522,0.19916658,1.0,0.20897584,0.28641596,0.44978252,0.46393085,0.0,0.5141141,0.3975998,0.026865795,0.10489734,0.73311996,0.3458281,yotvnwxc_0.png,neutral
11,0.3198771,0.35824537,0.09460038,0.4478539,0.2181821,0.0,0.24541698,0.008140903,0.0,0.11618043,0.15319237,0.08113528,0.49035442,0.0,0.5917559,0.39655745,0.074614875,0.15900773,0.16026744,0.13655181,bypytvsi_0.png,neutral
12,0.35312915,0.30091214,0.28515512,0.32435343,0.23239438,0.0,0.2953402,0.11069256,0.0,0.07367578,0.2691282,0.32674542,0.47850642,0.0,0.3257772,0.34286335,0.013673828,0.2932656,0.1931484,0.23442791,zncwcdny_0.png,neutral
13,0.3160887,0.27254418,0.5101261,0.34154108,0.18104571,0.0,0.39031327,0.54476184,0.0,0.20901194,0.35510853,0.08991801,0.5219119,0.0,0.73704976,0.49957848,0.05392352,0.4010528,0.6182451,0.20324734,qksknmnz_0.png,neutral
14,0.29988647,0.34912327,0.04929634,0.6020267,0.08377586,0.0,0.14745355,0.00032181002,0.0,0.072749704,0.28500748,0.15044041,0.41417274,0.0,0.41050202,0.31258833,0.7104645,0.24765132,0.12394529,0.09292434,nhhpggov_0.png,neutral
15,0.3652129,0.47763368,0.13680212,0.38626972,0.3942217,0.0,0.39102516,0.0045059645,0.0,0.5754582,0.5389764,0.06594354,0.5111545,0.0,0.4111667,0.71776605,0.017720016,0.06488523,0.0687377,0.4443989,ipsimaqj_0.png,neutral
16,0.38656506,0.30863583,0.118383564,0.33841324,0.35316607,1.0,0.3496034,0.115688406,0.0,0.3355464,0.35217938,0.06367123,0.5480832,0.0,0.44058314,0.23820889,0.55992013,0.27186558,0.2733492,0.5791379,eljxxegl_0.png,neutral
17,0.12896918,0.18810442,0.23666479,0.35838816,0.200062,0.0,0.22494525,0.14728348,1.0,0.07073818,0.30316454,0.05074495,0.36250907,0.0,0.33559716,0.3166909,0.0467852,0.06986119,0.27436066,0.17583014,msmvwsfs_0.png,neutral
18,0.3612804,0.14861757,0.35258818,0.33968323,0.16271786,0.0,0.23702152,0.4170155,0.0,0.041565213,0.2684495,0.3500917,0.6073142,0.0,0.4346548,0.7228185,0.0057222866,0.06512913,0.65090305,0.3136732,nqnglvyz_0.png,neutral
19,0.31790727,0.119422376,0.46092165,0.27544725,0.24134612,0.0,0.24187733,0.1282937,0.0,0.17494148,0.6297281,0.35573155,0.4775742,0.0,0.58012265,0.53242004,0.02401325,0.055992045,0.58751893,0.24446462,hggpexdo_0.png,neutral
20,0.21472956,0.16173814,0.4514655,0.3107809,0.26020965,1.0,0.61419,0.036309417,0.0,0.23966405,0.39480224,0.22917244,0.4289291,0.0,0.27164036,0.19556789,0.07405322,0.053879,0.414654,0.6777774,ltqjxuax_0.png,neutral
21,0.29744214,0.34199533,0.32432294,0.46938545,0.16829303,0.0,0.2470229,0.0005986058,0.0,0.09316592,0.30801386,0.38268086,0.44904256,0.0,0.7586854,0.30888233,0.10809686,0.03429678,0.66549265,0.11597452,ygoyktyx_0.png,neutral
22,0.345788,0.20829836,0.7189581,0.36646688,0.1810436,1.0,0.3632506,0.10534969,0.0,0.32098114,0.10664281,0.09150626,0.4364596,0.0,0.28183872,0.42617077,0.7304223,0.22610365,0.34983167,0.18404914,jsmsdueg_0.png,neutral
23,0.4036776,0.22568047,0.23418035,0.29093182,0.14466277,1.0,0.24107356,0.020701336,0.0,0.07764159,0.25739166,0.5759346,0.58458984,0.0,0.6523343,0.7229072,0.004905387,0.14282858,0.7919525,0.117421106,nyibhtiv_0.png,neutral
24,0.40805238,0.32046363,0.3444385,0.29220796,0.49942014,1.0,0.46593535,0.07695726,0.0,0.45503023,0.46739385,0.17938805,0.46692514,0.0,0.46616504,0.5055368,0.8211473,0.105632976,0.18290505,0.7649245,mjrssggv_0.png,neutral
25,0.29785436,0.2328102,0.68419313,0.3741786,0.35570765,0.0,0.4640325,0.018698573,1.0,0.43670943,0.46964335,0.48200697,0.5981062,0.0,0.54433733,0.4980892,0.03957346,0.087041564,0.43890178,0.27421424,icdgfsbl_0.png,neutral
26,0.32726488,0.38994658,0.45017028,0.30713087,0.17189449,0.0,0.5364538,0.0066976394,0.0,0.24533826,0.24265549,0.076124005,0.4117098,0.0,0.25545618,0.2785795,0.43232694,0.074573144,0.17009635,0.83505046,qqzwwvyd_0.png,neutral
27,0.3535397,0.2515806,0.13120864,0.44242346,0.10544613,0.0,0.2686065,0.00038271636,0.0,0.18929583,0.07099142,0.085136905,0.4472823,0.0,0.27890185,0.29235327,0.24316718,0.023183553,0.26296294,0.087251164,ijezvbvp_0.png,neutral
28,0.1641086,0.17855896,0.21479484,0.28902188,0.2685171,1.0,0.27316764,0.12550011,0.0,0.17408673,0.21851237,0.096245445,0.4719595,0.0,0.4818576,0.34441495,0.11555583,0.15206821,0.3527796,0.33681193,qssmmznc_0.png,neutral
29,0.25137508,0.19997282,0.14015745,0.44414908,0.30527267,0.0,0.49109146,0.01068327,0.0,0.1599311,0.3761967,0.22771373,0.55411637,0.0,0.52042973,0.5413097,0.08631306,0.075601004,0.55010045,0.4312229,yamlmzkw_0.png,neutral
30,0.27525195,0.20847137,0.13904202,0.6104436,0.11612315,0.0,0.24725877,0.4963193,1.0,0.06945375,0.59773535,0.27999613,0.50891536,0.0,0.36905926,0.5727502,0.063695416,0.05964776,0.11047588,0.09704948,mkeqeytd_0.png,neutral
