,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.3734387,0.13827102,0.34000385,0.41507092,0.12677617,0.0,0.17551875,0.12485909,0.0,0.10518894,0.71474534,0.5331797,0.6132941,0.0,0.7307247,0.5771664,0.06421906,0.17721003,0.053517047,0.07313298,vwmqtsqw_2.png,sad
1,0.38699543,0.22646588,0.37251386,0.30331716,0.18402968,0.0,0.4486714,0.02569488,1.0,0.17481948,0.37854013,0.02978599,0.39441687,0.0,0.27125975,0.4391664,0.04027911,0.1090151,0.4593301,0.559051,bvntdzqu_2.png,sad
2,0.26169774,0.07534062,0.4159621,0.31661525,0.17856096,1.0,0.25575757,0.05793669,1.0,0.18712798,0.414434,0.29129112,0.5305793,0.0,0.52696705,0.46285933,0.20797545,0.051161256,0.19381268,0.12203015,mszjzndp_2.png,sad
3,0.25648415,0.17357934,0.2942882,0.3076772,0.22783297,0.0,0.27579913,0.22949316,1.0,0.24958679,0.45711112,0.47292638,0.472478,0.0,0.40240452,0.6740699,0.03290567,0.2395963,0.23217301,0.14220384,csxxgjdz_2.png,sad
4,0.45179302,0.24392213,0.6848006,0.30750266,0.17917831,0.0,0.40416414,0.7431154,0.0,0.15435052,0.48360437,0.3326715,0.3680173,0.0,0.4170521,0.45249224,0.42426705,0.15570308,0.52700883,0.5916422,mgmhewpi_2.png,sad
5,0.42296758,0.315538,0.58611387,0.30419308,0.25997603,1.0,0.35008195,0.052394897,1.0,0.26841012,0.5667687,0.3598731,0.34008902,0.0,0.3525496,0.42954648,0.041244026,0.06923771,0.17114165,0.09821982,qfjegtup_2.png,sad
6,0.39003038,0.23100011,0.6446459,0.33010316,0.17345795,0.0,0.29434073,0.017362742,1.0,0.107406706,0.37569028,0.40954995,0.39438584,0.0,0.4494809,0.39186084,0.09423487,0.44650066,0.2908638,0.078361,eyefyhiy_2.png,sad
7,0.30626538,0.27295968,0.56044906,0.29033342,0.3523504,1.0,0.4051091,0.0014589916,0.0,0.15763932,0.4797957,0.26865122,0.3647581,0.0,0.44433376,0.59250224,0.08392974,0.19030091,0.08886066,0.35948142,fombzuyo_2.png,sad
8,0.47113216,0.22808617,0.37077862,0.3763874,0.10153321,0.0,0.18159099,0.00912819,0.0,0.06128024,0.20668048,0.15407468,0.42364737,0.0,0.23787116,0.44852132,0.09811886,0.07182952,0.030467527,0.06604241,wiaqclfp_2.png,sad
9,0.42327142,0.2795814,0.3391651,0.2626057,0.25639838,1.0,0.3793954,0.01879061,0.0,0.30453148,0.26393557,0.3696098,0.55810106,0.0,0.62718666,0.41977334,0.3157701,0.09305758,0.4583505,0.52251506,zwizkons_2.png,sad
10,0.23055547,0.24217984,0.105535015,0.46197793,0.26658693,0.0,0.39754832,0.0012457442,0.0,0.07705256,0.22484045,0.08507214,0.46750352,0.0,0.37213135,0.31053066,0.3239435,0.0496586,0.16304146,0.38109735,gpdmkkrw_2.png,sad
11,0.43766397,0.34180993,0.40222043,0.29232475,0.20138952,0.0,0.38771778,0.38153255,0.0,0.2578482,0.18955658,0.25649092,0.42762467,0.0,0.5100341,0.28709576,0.47568253,0.065452375,0.5079263,0.3950932,iufxxcfc_2.png,sad
12,0.25017676,0.2924505,0.4999354,0.24824613,0.25960845,0.0,0.2840188,0.004870717,0.0,0.13770315,0.47699067,0.10525,0.44222647,0.0,0.42481527,0.42289966,0.11864064,0.12266556,0.4115951,0.18464546,otedctne_2.png,sad
13,0.28890714,0.14663835,0.3543985,0.62371033,0.15010127,0.0,0.14426148,0.4369643,1.0,0.13525909,0.68493646,0.3429494,0.45151803,0.0,0.6943735,0.7026252,0.0289469,0.24004965,0.016779054,0.026505703,mbpkukxf_2.png,sad
14,0.1994926,0.16945209,0.55984914,0.3631885,0.63263774,0.0,0.26473606,0.022179347,1.0,0.49828807,0.49354643,0.5493632,0.47764033,0.0,0.39216813,0.50685394,0.08158095,0.14186628,0.06837569,0.24110755,grzgrhmi_2.png,sad
15,0.25642562,0.20737237,0.3141764,0.27956972,0.24138634,1.0,0.27686217,0.27371478,0.0,0.1397762,0.25011307,0.14503612,0.44742632,0.0,0.4410597,0.38580704,0.35641107,0.06437148,0.28209612,0.50979567,duddtbnu_2.png,sad
16,0.24674843,0.25872827,0.573324,0.2894477,0.5756958,0.0,0.7215706,0.85890734,0.0,0.74442583,0.29852533,0.29469872,0.5976444,0.0,0.43758968,0.38368443,0.28587767,0.03944874,0.10621804,0.39604527,qovdggnh_2.png,sad
17,0.2733522,0.21909913,0.17972493,0.2822311,0.3004762,1.0,0.33700904,0.15960559,0.0,0.13901283,0.19951084,0.158107,0.29480794,0.0,0.56435776,0.33847913,0.088274054,0.16086444,0.6589083,0.52678216,ffaxcllw_2.png,sad
