,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.5279739,0.15610571,0.70206845,0.46948114,0.08707377,0.0,0.13845746,0.0131381815,0.0,0.014922238,0.1546457,0.11413104,0.46210068,0.0,0.5519914,0.35436472,0.5247167,0.09871526,0.07340172,0.056035347,tbhxcbza_6.png,angry
1,0.3333251,0.26596978,0.60274947,0.38348648,0.26121733,0.0,0.23401995,0.6360665,1.0,0.17328355,0.14173944,0.2380445,0.39864543,1.0,0.6503884,0.087299004,0.9996872,0.9313825,0.12361234,0.17027012,zdzxvhjb_6.png,angry
2,0.35756427,0.10452826,0.91861516,0.2955943,0.38533363,1.0,0.8164921,0.9274254,0.0,0.1507806,0.23534751,0.24639764,0.30048013,1.0,0.45084268,0.011251709,0.9997501,0.93365484,0.023108486,0.91326255,qaaaaaaa_6.png,angry
3,0.48014513,0.28686526,0.57528144,0.5933522,0.1058876,0.0,0.22263432,0.27028966,0.0,0.21413931,0.34458214,0.26264647,0.24251401,1.0,0.16294923,0.009330949,0.99995756,0.8909172,0.06805267,0.07047499,pxswopif_6.png,angry
4,0.28843498,0.105333984,0.9176139,0.3301252,0.30179358,0.0,0.13416475,0.35473758,0.0,0.05301055,0.23687832,0.28239727,0.39239088,1.0,0.4615771,0.016005129,0.9997714,0.96860987,0.1049127,0.09702303,nmkkpqag_6.png,angry
5,0.5793611,0.24298993,0.73568,0.27232343,0.40464288,0.0,0.72377837,0.6824409,0.0,0.16007513,0.102919586,0.13415916,0.21782573,1.0,0.29008716,0.005392536,0.9999764,0.9354411,0.025562827,0.7757302,dlqnfuhe_6.png,angry
6,0.7015541,0.41222617,0.433344,0.56701535,0.08343758,0.0,0.12419929,0.39476827,1.0,0.0380352,0.15595354,0.26095912,0.37608364,1.0,0.40325588,0.0157619,0.9971879,0.9542475,0.04590616,0.04642569,rmulxejr_6.png,angry
7,0.50624853,0.2737163,0.2930943,0.26363143,0.16511554,0.0,0.21593925,0.43118334,0.0,0.23838249,0.30738488,0.39707297,0.38639605,1.0,0.32444254,0.02506745,0.99696004,0.9004034,0.050857674,0.6689622,jrqecequ_6.png,angry
8,0.37327135,0.12906566,0.44930708,0.353461,0.46961474,1.0,0.15565741,0.4149223,0.0,0.27296153,0.23437864,0.17101231,0.26972577,1.0,0.18022071,0.008792709,0.9999316,0.9380996,0.047975555,0.04863205,aslknmnm_6.png,angry
9,0.5226352,0.14888352,0.6762103,0.48199603,0.068117656,0.0,0.12135482,0.08207381,1.0,0.038379215,0.32183704,0.33256137,0.2928314,0.0,0.3224599,0.16181585,0.984118,0.36959413,0.19517979,0.08852298,kehgoqtf_6.png,angry
10,0.37263986,0.2082347,0.85099393,0.2638235,0.23615623,0.0,0.5712722,0.7246827,0.0,0.07212626,0.45632005,0.47084594,0.32989204,1.0,0.24245194,0.07208519,0.998743,0.77786064,0.02192281,0.19214928,nwjandkw_6.png,angry
11,0.37298292,0.24994041,0.7720749,0.3195277,0.24106367,0.0,0.2759649,0.30308935,0.0,0.17636813,0.17035155,0.5685872,0.32737386,1.0,0.54854614,0.12183849,0.996117,0.9003703,0.11734984,0.2759744,advjljth_6.png,angry
12,0.5588253,0.31905806,0.19223504,0.6547718,0.15446475,0.0,0.20449701,0.14972201,1.0,0.1042338,0.30085737,0.5085718,0.4472121,1.0,0.2732464,0.3758718,0.979715,0.40358195,0.10249953,0.17300452,hcefsoyr_6.png,angry
13,0.2935731,0.21968618,0.68153906,0.32964,0.10083041,0.0,0.14007735,0.027715508,1.0,0.030518688,0.26736492,0.100455955,0.28782266,0.0,0.28830263,0.07711534,0.9538342,0.20710632,0.21075702,0.036613777,nivowqgk_6.png,angry
14,0.5916869,0.14210077,0.7305874,0.50644046,0.18650775,0.0,0.15132958,0.11624475,0.0,0.09991565,0.08877737,0.088681675,0.4245553,1.0,0.51396257,0.07078108,0.9568101,0.41443685,0.07236811,0.075647764,vrdctlwb_6.png,angry
15,0.34070528,0.22972569,0.50794667,0.615883,0.07745005,0.0,0.15575533,0.29312876,1.0,0.15429251,0.3589278,0.3470809,0.39074197,1.0,0.26589495,0.024482576,0.9993311,0.3044629,0.10200148,0.033865947,oayicbck_6.png,angry
16,0.4049737,0.2233333,0.6167941,0.72359425,0.062398124,1.0,0.14772522,0.6973386,1.0,0.18729754,0.18911594,0.20793201,0.29967585,1.0,0.2123052,0.038287677,0.99582386,0.92013204,0.05875721,0.032513354,andtcvhp_6.png,angry
17,0.4412435,0.20282985,0.91530186,0.23622307,0.6098061,1.0,0.5145618,0.5151205,0.0,0.18705255,0.40742928,0.54004633,0.2724504,1.0,0.28062755,0.010618898,0.999713,0.7866311,0.07116581,0.76677257,bfsobsqq_6.png,angry
18,0.402623,0.35404265,0.5022235,0.31569856,0.04639528,0.0,0.13141516,0.0050755683,0.0,0.0261959,0.47382402,0.7847912,0.3336644,0.0,0.56876355,0.4505528,0.034026742,0.27699724,0.639564,0.019802954,dxetvmdg_6.png,angry
19,0.41755798,0.21262945,0.91570675,0.44672027,0.1928407,1.0,0.12912007,0.11637743,1.0,0.050760217,0.08119362,0.5142184,0.658393,0.0,0.7474303,0.121586405,0.9862211,0.71675307,0.1326214,0.08285604,mszswsaa_6.png,angry
20,0.36666733,0.28172052,0.85405374,0.31832337,0.46461383,1.0,0.65321034,0.9280209,0.0,0.28585887,0.23520212,0.48584428,0.22339799,1.0,0.45556659,0.0058886227,0.99995875,0.9648887,0.0288734,0.29087132,ijijoijo_6.png,angry
21,0.40952465,0.13736163,0.71572,0.5002524,0.10008687,0.0,0.11083685,0.03197085,0.0,0.017664129,0.1477355,0.16599444,0.41216496,0.0,0.35089087,0.03570372,0.9986494,0.73303705,0.036261767,0.032476228,tlrnfwgj_6.png,angry
22,0.35712996,0.2842163,0.82026464,0.41043434,0.37660745,1.0,0.20181406,0.7283208,0.0,0.116097204,0.13610925,0.37345928,0.2859126,1.0,0.2981701,0.0073428852,0.9999571,0.88141274,0.031084757,0.119633496,bbbbbbbb_6.png,angry
23,0.5820069,0.18461119,0.2898735,0.5600275,0.046076503,0.0,0.1087408,0.04724367,0.0,0.048026327,0.17182845,0.43823588,0.39901155,0.0,0.4781078,0.44397658,0.91564405,0.6720888,0.2591619,0.036702022,zsnwtxlx_6.png,angry
24,0.45218602,0.21932511,0.7754934,0.59757704,0.16682193,0.0,0.18157408,0.40827346,0.0,0.11518004,0.3910598,0.27078852,0.29612696,1.0,0.46525645,0.022805553,0.99976355,0.7944913,0.23161627,0.18237688,yvfatixr_6.png,angry
25,0.40109462,0.24052082,0.5128528,0.73462087,0.06377607,0.0,0.11337814,0.0035507218,1.0,0.040801316,0.38170567,0.0847264,0.40483496,0.0,0.5206627,0.5094753,0.21329297,0.19639836,0.17639355,0.019557504,haapovkb_6.png,angry
26,0.7381486,0.32015786,0.7208022,0.44442725,0.2841757,0.0,0.24429262,0.41200963,1.0,0.097093865,0.14384586,0.11115412,0.33852273,1.0,0.5037979,0.022526098,0.9884603,0.8158424,0.048888996,0.2899308,zoghefwq_6.png,angry
27,0.40981284,0.34254915,0.42322722,0.5496682,0.055947047,0.0,0.16868529,0.0072195805,0.0,0.030138804,0.15724456,0.07303579,0.33298758,0.0,0.17031473,0.091359496,0.99289286,0.4764954,0.02270695,0.048011277,nlhunkeq_6.png,angry
28,0.3975156,0.39280558,0.7541354,0.23110111,0.39276782,0.0,0.4604435,0.8043634,0.0,0.40375206,0.32629874,0.59112227,0.31640434,1.0,0.5411591,0.022415627,0.98800975,0.8454813,0.04033054,0.77800715,yukggygi_6.png,angry
