,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.37923983,0.2576519,0.26015943,0.72565234,0.037119586,0.0,0.12602016,0.082691,1.0,0.015406415,0.07304595,0.1378695,0.24370056,0.0,0.15583672,0.1423627,0.7557318,0.077048935,0.08925841,0.09452722,driqhfkm_5.png,disgust
1,0.4810882,0.20755862,0.50969666,0.5971507,0.08066983,0.0,0.08661124,0.012161306,1.0,0.0121417185,0.19560552,0.24899678,0.41826403,0.0,0.36603662,0.13253725,0.5565799,0.101336196,0.108569145,0.034394287,trnixglx_5.png,disgust
2,0.43671697,0.31009665,0.18921608,0.46256378,0.18642907,0.0,0.12255273,0.008343342,1.0,0.096175164,0.3950941,0.55181104,0.3707516,0.0,0.38644925,0.15872765,0.4552314,0.15225601,0.3402898,0.028102335,drqaxgli_5.png,disgust
3,0.35240608,0.22426392,0.34908015,0.52814424,0.066298,0.0,0.16639043,0.0321375,0.0,0.027751679,0.26053807,0.2527889,0.29551694,0.0,0.31595784,0.22504292,0.4959427,0.1453049,0.21078587,0.037390593,ewxovpyu_5.png,disgust
4,0.43508524,0.073830515,0.74618274,0.2877714,0.076024406,0.0,0.7103285,0.009214654,1.0,0.0144953,0.21628512,0.2506289,0.3715427,0.0,0.28348532,0.28783107,0.985529,0.47698426,0.0974436,0.5137774,ihpptwuq_5.png,disgust
5,0.2169358,0.13207528,0.58226913,0.39446852,0.052821606,0.0,0.12412503,0.40901628,0.0,0.014833321,0.26024202,0.37174332,0.39990744,0.0,0.28569508,0.44195256,0.43937892,0.12959227,0.054211576,0.038721602,oqijknmk_5.png,disgust
6,0.403839,0.2105446,0.30577525,0.68595093,0.071391,0.0,0.1603198,0.1860654,0.0,0.044667635,0.3090789,0.070592485,0.35417596,0.0,0.2836997,0.15233086,0.6173644,0.2360967,0.26931754,0.03986867,efpevwxc_5.png,disgust
7,0.3761379,0.170603,0.25066835,0.5061228,0.06885625,0.0,0.07256484,0.005609728,0.0,0.03528731,0.22672595,0.19504227,0.25221053,0.0,0.30637524,0.12068179,0.48065454,0.21867198,0.24071981,0.023016566,ahdmclwl_5.png,disgust
8,0.24166924,0.15540169,0.1263353,0.58176696,0.085587025,0.0,0.1496002,0.002319515,0.0,0.035729624,0.34705943,0.20575313,0.2616803,0.0,0.3995255,0.28892377,0.8060366,0.19486557,0.121922776,0.03840361,eiwosjdk_5.png,disgust
9,0.37242693,0.107682884,0.74480915,0.3862583,0.07424258,0.0,0.10820236,0.23654202,1.0,0.017815266,0.18419217,0.5051615,0.4423339,0.0,0.34693444,0.2554236,0.9255087,0.17661285,0.13717401,0.16386607,ldrdzvuu_5.png,disgust
