,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.60950315,0.2854003,0.08716092,0.53683555,0.04639726,0.0,0.08399747,0.01128153,0.0,0.01233211,0.13239546,0.12099763,0.38461173,0.0,0.25780523,0.18283367,0.57983565,0.20781377,0.026914945,0.024252243,gkyikczg_4.png,fear
1,0.41853595,0.14353882,0.6010082,0.69552386,0.07923883,0.0,0.169464,0.4594319,0.0,0.04433779,0.20112205,0.78577995,0.4914761,0.0,0.31108335,0.60764515,0.045280334,0.04630246,0.18965217,0.05045184,popboqzp_4.png,fear
2,0.7083427,0.47511125,0.65001845,0.7157288,0.07212926,0.0,0.11937573,0.0043199006,1.0,0.052484848,0.12091888,0.4139641,0.45482054,0.0,0.41632426,0.06326496,0.9727496,0.5449019,0.15429951,0.16465598,olkydrza_4.png,fear
3,0.7260636,0.45558074,0.6073172,0.41868672,0.08784476,0.0,0.11186623,0.04589342,0.0,0.023979617,0.19981639,0.7180776,0.57698655,0.0,0.57687825,0.5781996,0.030539367,0.19067511,0.3127218,0.086577445,lzhxemve_4.png,fear
4,0.464296,0.19908467,0.4412576,0.63788754,0.065852284,0.0,0.0990636,0.07674877,1.0,0.016068626,0.035695996,0.08028602,0.26845047,0.0,0.22054766,0.024857283,0.98707503,0.17112528,0.11794943,0.03241813,xurjmrkr_4.png,fear
5,0.28398994,0.17344525,0.33400583,0.6953791,0.052609075,0.0,0.08203371,0.060419887,0.0,0.0313386,0.26228592,0.17699951,0.4991743,0.0,0.41310713,0.62012047,0.29182535,0.18507428,0.36188182,0.038924318,iimkbovt_4.png,fear
6,0.59455395,0.4002466,0.45819768,0.37584394,0.10915457,0.0,0.13733743,0.0030160518,0.0,0.038779855,0.07529616,0.54661965,0.5323604,0.0,0.13961245,0.39908606,0.7746741,0.119047865,0.111778215,0.11439432,azdjnflr_4.png,fear
7,0.38070086,0.32994685,0.22074269,0.7128705,0.06817796,0.0,0.09988607,0.06648398,0.0,0.012763628,0.101139285,0.07454123,0.25695685,0.0,0.29653525,0.04065232,0.9980876,0.8693642,0.107803695,0.04621922,qofjqgzd_4.png,fear
8,0.8664913,0.4103481,0.23190475,0.5030124,0.079662174,0.0,0.08364255,0.0035106824,0.0,0.013706956,0.14607179,0.39236617,0.60113597,0.0,0.49667305,0.31305712,0.6517784,0.21442926,0.021109913,0.07161158,nxdrnpnp_4.png,fear
9,0.25716668,0.2046247,0.17986879,0.3314429,0.101409,0.0,0.096452646,0.04722734,1.0,0.0667079,0.17413454,0.20864211,0.367585,0.0,0.188387,0.377702,0.21384081,0.058983847,0.2136109,0.18708009,hlpvgfan_4.png,fear
10,0.40460116,0.19845302,0.45139673,0.38210905,0.08844265,0.0,0.14107436,0.0061302986,1.0,0.023248322,0.12758964,0.54461247,0.4553153,0.0,0.3360042,0.1535597,0.9723527,0.41076145,0.20676136,0.06819751,wbvcxzoj_4.png,fear
11,0.3934687,0.16697587,0.44910365,0.42689267,0.11299607,0.0,0.18286145,0.82915324,0.0,0.048092656,0.14679752,0.076593466,0.27083465,0.0,0.2679697,0.09988275,0.87371016,0.20277679,0.36151028,0.040261623,ujcacmbh_4.png,fear
12,0.237052,0.17656754,0.08113617,0.45991597,0.042831145,0.0,0.09884509,0.0011483129,0.0,0.033519495,0.3773709,0.08539661,0.37226495,0.0,0.41509506,0.4979899,0.013826162,0.06907151,0.19780625,0.034321498,daeooohn_4.png,fear
13,0.54895604,0.5848665,0.09820277,0.47656268,0.121447764,0.0,0.12970632,0.02199823,0.0,0.07132175,0.5073988,0.06624868,0.31557658,1.0,0.23724206,0.087939866,0.96503377,0.5251795,0.083231926,0.14483744,hqwvrptm_4.png,fear
14,0.3012757,0.2107008,0.299375,0.7211207,0.07657118,0.0,0.13934247,0.0563036,1.0,0.04336307,0.29581058,0.36493802,0.3641549,0.0,0.684767,0.4521978,0.01858011,0.22051315,0.15368794,0.10626311,ukaizipb_4.png,fear
15,0.4528401,0.34854314,0.16591924,0.5776181,0.04991052,0.0,0.0772611,0.0030034648,0.0,0.015314406,0.12066957,0.10222201,0.20854786,0.0,0.1536175,0.19877672,0.48989585,0.30994534,0.105953306,0.023624144,fkqbgcxd_4.png,fear
16,0.19413517,0.1729889,0.16073847,0.57578963,0.08666325,0.0,0.10998296,0.0019763017,1.0,0.017989697,0.0899967,0.06338532,0.37952435,0.0,0.31059358,0.18295886,0.611452,0.12518801,0.011041684,0.026482856,afmmkbmv_4.png,fear
17,0.3728822,0.27048942,0.37809107,0.7300373,0.049170826,0.0,0.118523635,0.0010206301,0.0,0.028768616,0.14327247,0.10978793,0.3194235,0.0,0.18810631,0.054559343,0.8766645,0.61563647,0.08446464,0.03624963,yfatfsqw_4.png,fear
18,0.7254999,0.6064792,0.38273752,0.44193897,0.15418942,0.0,0.22940804,0.16232283,0.0,0.062432557,0.08819483,0.05441459,0.2764832,1.0,0.44192076,0.008783662,0.99997985,0.8563219,0.048856303,0.22016606,fumoytqb_4.png,fear
19,0.67900497,0.20566794,0.8287174,0.3669367,0.075656824,0.0,0.09568272,0.0032321236,0.0,0.011110135,0.10920853,0.41400224,0.52575403,0.0,0.3125305,0.2904277,0.97418696,0.06703229,0.21797203,0.04154115,gbtennfy_4.png,fear
20,0.4818426,0.48492146,0.16055083,0.53818715,0.061501443,0.0,0.07424286,0.00019503766,0.0,0.009042967,0.064057596,0.104238525,0.3539365,0.0,0.32824156,0.04576541,0.9975435,0.46760696,0.05643708,0.043168027,ldmjspuq_4.png,fear
