,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.41622654,0.29156372,0.23391634,0.43968087,0.13580483,0.0,0.21503398,0.036520787,1.0,0.15117174,0.2556289,0.39261654,0.487289,0.0,0.4675531,0.4488142,0.09515419,0.07867621,0.08122719,0.06773503,toklnxdj_1.png,happy
1,0.6810921,0.33291048,0.3243966,0.32100123,0.18195333,1.0,0.5376021,0.17574532,1.0,0.27771905,0.58566135,0.5277353,0.54510474,0.0,0.63348633,0.42091307,0.67391735,0.21947904,0.19065675,0.086334065,xromdsjh_1.png,happy
2,0.36185893,0.30220148,0.114231184,0.27139142,0.8062282,1.0,0.45587733,0.9936144,1.0,0.9847798,0.81042486,0.29785916,0.33075196,1.0,0.42617023,0.015799768,0.9998971,0.30285513,0.050437473,0.08095523,xpsdszck_1.png,happy
3,0.30693293,0.27698985,0.121411614,0.54305845,0.72497904,1.0,0.257988,0.9541153,1.0,0.9478021,0.7409249,0.28111163,0.21888974,1.0,0.34041286,0.0060521304,0.99964786,0.8997728,0.015782636,0.036762983,hlxoqnqz_1.png,happy
4,0.24660188,0.19676998,0.7119181,0.3204257,0.817143,0.0,0.30568328,0.97051233,0.0,0.94139206,0.93542427,0.4216982,0.49846515,1.0,0.65168095,0.64209336,0.0075598736,0.4601919,0.10625822,0.041976724,kuokyqxu_1.png,happy
5,0.33356786,0.39122984,0.10613353,0.2206312,0.85207856,0.0,0.45971102,0.9923273,1.0,0.9681816,0.75639194,0.26912156,0.42054215,1.0,0.4374622,0.0698586,0.99964464,0.18734287,0.20892821,0.18040973,ijmdbknt_1.png,happy
6,0.3178368,0.24923033,0.21312343,0.36867374,0.17537369,0.0,0.3280171,0.010610225,0.0,0.2414491,0.5722447,0.33906886,0.55683565,0.0,0.5133823,0.7572985,0.012860969,0.06415753,0.38578805,0.07315444,mpkcugyf_1.png,happy
7,0.48944992,0.37076882,0.4726186,0.37607896,0.5718977,1.0,0.32507008,0.28715178,1.0,0.78529584,0.5738975,0.13174771,0.30604526,1.0,0.3626651,0.026591294,0.9983387,0.3009323,0.061020356,0.08082473,qmbvizmy_1.png,happy
8,0.19687274,0.16392776,0.096367344,0.28765944,0.16297267,0.0,0.22388874,0.0040795365,1.0,0.32270616,0.6185752,0.10622324,0.5127509,0.0,0.7059239,0.8313228,0.27088207,0.078239106,0.7806816,0.119019926,dzuxppzd_1.png,happy
9,0.34532985,0.3593993,0.0839658,0.2552033,0.9528533,1.0,0.4819319,0.95942986,1.0,0.9835113,0.83726496,0.277032,0.5318978,1.0,0.18096589,0.12673894,0.99560404,0.20364253,0.05966535,0.10408933,bmktgxva_1.png,happy
10,0.5022792,0.23029399,0.14076683,0.24185647,0.87460047,1.0,0.41746563,0.8925706,1.0,0.95994216,0.7321971,0.26007602,0.21195237,1.0,0.23763846,0.019512884,0.9973562,0.674001,0.017416043,0.06759482,ipdjvfiu_1.png,happy
11,0.3398893,0.3854746,0.104138345,0.64104396,0.16350806,1.0,0.1983246,0.13285224,0.0,0.52919924,0.5757873,0.10604031,0.4500611,0.0,0.5167228,0.6889878,0.36711842,0.16669165,0.7547539,0.030421745,qhbmryvn_1.png,happy
12,0.38963422,0.30048344,0.18083562,0.41825643,0.1110724,0.0,0.13196652,0.18682136,0.0,0.17022997,0.5590884,0.23000868,0.34971237,0.0,0.28522843,0.30076873,0.8754736,0.2136581,0.08054485,0.04180813,dmiacheq_1.png,happy
13,0.32504007,0.1371747,0.26535386,0.29713845,0.42857358,0.0,0.40572235,0.67021585,0.0,0.9012107,0.7026071,0.4196126,0.4231029,1.0,0.66255003,0.8741065,0.027932188,0.2580414,0.411874,0.13187392,cbetqlon_1.png,happy
14,0.34149137,0.17873955,0.13178097,0.31620637,0.15505858,0.0,0.2204337,0.06338586,1.0,0.2039181,0.32581404,0.20619042,0.4436691,0.0,0.44596273,0.6851432,0.088639446,0.17685257,0.19069189,0.10358933,kxdyoadq_1.png,happy
15,0.31594822,0.3510834,0.2848467,0.282877,0.661696,0.0,0.5563045,0.8901964,1.0,0.78168064,0.63048196,0.17509958,0.29699764,1.0,0.37167585,0.46358645,0.97267365,0.21797007,0.520232,0.22662963,hsnwuiwg_1.png,happy
16,0.40940133,0.35612577,0.34703,0.22563423,0.738585,1.0,0.4982419,0.5739469,0.0,0.874898,0.7821171,0.3193998,0.45433062,0.0,0.6600508,0.58607274,0.9952447,0.102585055,0.08247121,0.32882443,blksjbpb_1.png,happy
