,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.3036385,0.08373936,0.32954463,0.3186516,0.07968287,1.0,0.14929292,0.04553804,0.0,0.016931795,0.1736518,0.11123228,0.23332244,0.0,0.26908445,0.32915995,0.041971516,0.049502145,0.34313616,0.03601251,doaoiovv_0.png,neutral
1,0.6483361,0.596786,0.59132636,0.715822,0.048652343,0.0,0.15751702,0.001708361,0.0,0.021399766,0.2428342,0.4198975,0.42195624,0.0,0.26726884,0.4093592,0.039949227,0.11814433,0.29263672,0.09270362,uriykxjr_0.png,neutral
2,0.34886795,0.13578545,0.12559146,0.38463798,0.07872607,0.0,0.08923532,0.00669203,0.0,0.020428926,0.17813632,0.09103669,0.47581473,0.0,0.21036962,0.16641659,0.4444841,0.083404966,0.1113307,0.04686196,aksndlkn_0.png,neutral
3,0.71878046,0.38040352,0.8184793,0.47047538,0.08541016,0.0,0.13015103,0.078273624,1.0,0.013883945,0.13314056,0.439175,0.4031749,0.0,0.28567114,0.19958313,0.74407196,0.21269995,0.17595203,0.076875046,aptzlpuo_0.png,neutral
4,0.40469748,0.10457554,0.6952138,0.36987287,0.098458275,0.0,0.24319369,0.03817592,0.0,0.03977862,0.36638382,0.6534972,0.36037403,0.0,0.5412771,0.5140617,0.052667335,0.2788809,0.113750614,0.11329338,fpyfqxgu_0.png,neutral
5,0.27816942,0.17413792,0.24107246,0.30233958,0.119346045,0.0,0.16797654,0.01999086,0.0,0.24102336,0.15682748,0.5110654,0.44804242,0.0,0.5246969,0.34484187,0.32371846,0.033404503,0.12401194,0.23859549,uebhszpa_0.png,neutral
6,0.32023975,0.19056427,0.73816884,0.34184265,0.14291906,0.0,0.14006187,0.18015067,1.0,0.05964204,0.26047042,0.18480527,0.39823604,0.0,0.2943327,0.0723082,0.93076336,0.51009977,0.025752094,0.040319387,ochviknh_0.png,neutral
7,0.62523687,0.3787249,0.13057181,0.64485985,0.124381565,0.0,0.18104464,0.3356996,1.0,0.06014944,0.26863602,0.3119123,0.37849462,0.0,0.14890574,0.16457361,0.27853307,0.16943851,0.19431631,0.13076967,ijflukat_0.png,neutral
8,0.43427855,0.15019904,0.13203555,0.52010447,0.047739774,0.0,0.09785019,0.07848127,0.0,0.014852279,0.24291362,0.1279954,0.5122327,0.0,0.3203524,0.30660138,0.9117096,0.123108484,0.046302207,0.024454774,aovjrrax_0.png,neutral
9,0.41412604,0.17202787,0.8207353,0.32768777,0.60662544,1.0,0.3127184,0.34329143,1.0,0.5637809,0.5228871,0.25178817,0.6356225,1.0,0.70796204,0.5445209,0.2358955,0.26434264,0.4614013,0.018956037,meoltjsh_0.png,neutral
10,0.6011916,0.6239411,0.13730605,0.742357,0.08017903,0.0,0.13571,0.02453093,0.0,0.03940645,0.14335673,0.32433093,0.43159166,0.0,0.2271321,0.36280817,0.043140896,0.17848179,0.50279844,0.057037212,yotvnwxc_0.png,neutral
11,0.6823642,0.5046122,0.08514268,0.5481877,0.08375711,0.0,0.07977875,0.00036496966,0.0,0.022209242,0.24221894,0.31352592,0.45689517,0.0,0.35454577,0.34759542,0.41521662,0.19017932,0.19056162,0.035929043,bypytvsi_0.png,neutral
12,0.47881517,0.5071227,0.2529751,0.5796271,0.047228895,0.0,0.07355236,0.002425828,0.0,0.04828867,0.054785788,0.03508416,0.35078266,0.0,0.14187862,0.15146238,0.4124868,0.30903715,0.09339313,0.042418752,zncwcdny_0.png,neutral
13,0.42964882,0.2559785,0.314657,0.7147235,0.07000124,0.0,0.09527089,0.20734906,0.0,0.016997272,0.26458007,0.27157402,0.3443891,0.0,0.55374664,0.7688468,0.0062033,0.1688537,0.3396132,0.04320148,qksknmnz_0.png,neutral
14,0.4455164,0.26268238,0.5127068,0.44696954,0.083856955,0.0,0.12132627,0.049839783,0.0,0.0247374,0.24076065,0.33855817,0.4563756,0.0,0.17545274,0.48857898,0.7370017,0.09563288,0.61139613,0.054264974,nhhpggov_0.png,neutral
15,0.41437045,0.16412565,0.25501013,0.4014544,0.094399795,0.0,0.0955533,0.0016022491,1.0,0.04191337,0.5796395,0.08384177,0.5733888,0.0,0.62305814,0.7310131,0.07752306,0.03517145,0.12952533,0.031269785,ipsimaqj_0.png,neutral
16,0.66415423,0.5181656,0.23005049,0.4513931,0.11647946,0.0,0.10505254,0.057385445,1.0,0.065789975,0.2631035,0.20978628,0.54541695,0.0,0.18521391,0.202868,0.8345461,0.3071546,0.047365066,0.16973984,eljxxegl_0.png,neutral
