,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.27703938,0.107216455,0.7120474,0.41750214,0.101065986,0.0,0.12511201,0.5697374,1.0,0.02985998,0.24536085,0.17398895,0.35632527,1.0,0.5109758,0.025210375,0.99963045,0.6107528,0.358687,0.051144704,cucduvud_3.png,surprise
1,0.35494962,0.09823875,0.7974732,0.43346423,0.1342436,0.0,0.27767447,0.893714,0.0,0.036334675,0.2478406,0.46295297,0.2873805,1.0,0.71868515,0.010968444,0.99993527,0.92071646,0.1203906,0.13902175,vqnamybe_3.png,surprise
2,0.4910918,0.33194017,0.6983426,0.65876895,0.09237335,0.0,0.12778364,0.64572597,0.0,0.023710422,0.16992584,0.26485392,0.2811256,1.0,0.5057443,0.03103435,0.9946286,0.85934395,0.44030693,0.064307645,eqtkxinb_3.png,surprise
3,0.48395818,0.22299388,0.8899383,0.49220255,0.13907854,0.0,0.1656221,0.1589347,0.0,0.031696074,0.055787373,0.18802361,0.28983715,1.0,0.308198,0.031724434,0.99871516,0.5377668,0.118818864,0.09009409,melvpral_3.png,surprise
4,0.3820008,0.13445643,0.9022262,0.452636,0.23957305,0.0,0.222836,0.021268355,0.0,0.062412214,0.2102325,0.5371374,0.3149788,1.0,0.38462076,0.10092608,0.9998772,0.79630494,0.16484733,0.17760219,pojoopop_3.png,surprise
5,0.55002034,0.24485114,0.5957654,0.50956887,0.13066903,0.0,0.12031272,0.36651367,0.0,0.05441114,0.07434058,0.24867354,0.45877725,0.0,0.32073534,0.054246232,0.98878646,0.27726054,0.31764886,0.061731562,alzbfyrn_3.png,surprise
6,0.37988532,0.056045074,0.85177153,0.34458762,0.13314812,0.0,0.1387108,0.07056385,1.0,0.047522485,0.15821719,0.18503362,0.32129493,1.0,0.21210451,0.013947964,0.99975973,0.92516845,0.103368685,0.13740787,krmeebtm_3.png,surprise
7,0.47389442,0.2703624,0.36720908,0.7088805,0.13412134,0.0,0.14855056,0.019658377,1.0,0.05183282,0.31729773,0.35562032,0.44621038,1.0,0.44336754,0.05589562,0.99779785,0.9332664,0.11808256,0.12645684,fttytjgc_3.png,surprise
8,0.37504467,0.12614782,0.7575539,0.58538467,0.1271949,0.0,0.1268853,0.0041409233,0.0,0.049555164,0.15973632,0.0994273,0.42540345,1.0,0.23006035,0.014017656,0.9997912,0.91655725,0.023271793,0.040459678,uurxhten_3.png,surprise
9,0.4090284,0.07839818,0.77147174,0.53679657,0.17073138,0.0,0.18355675,0.40890232,0.0,0.05987694,0.06832063,0.72788584,0.4425079,1.0,0.50518847,0.049042404,0.9623156,0.5982292,0.06010964,0.074287765,mrmgfmqw_3.png,surprise
10,0.3081098,0.08432318,0.8622355,0.48575836,0.1908019,0.0,0.13353516,0.4138627,1.0,0.036425762,0.06973547,0.21794394,0.25306305,1.0,0.46997213,0.026295487,0.9997882,0.6936526,0.16742991,0.12683782,cpebixcq_3.png,surprise
11,0.35459432,0.22663392,0.21777023,0.743176,0.10969728,0.0,0.12394936,0.02762685,0.0,0.060440432,0.13385801,0.13232775,0.22988366,1.0,0.31408182,0.014221349,0.9996623,0.8754815,0.04174937,0.044117358,khcaglme_3.png,surprise
12,0.4600443,0.24917233,0.52194136,0.73992276,0.081970386,0.0,0.11411921,0.0034689328,1.0,0.02029972,0.07699956,0.35242105,0.4538119,0.0,0.26503062,0.13697256,0.9529307,0.26801926,0.15775692,0.05262946,pceskzjd_3.png,surprise
13,0.54047716,0.20303178,0.7575681,0.592216,0.19056678,0.0,0.13393302,0.33665338,0.0,0.048359644,0.069128335,0.15241495,0.28383365,1.0,0.4128317,0.018240273,0.99869055,0.8656902,0.08838072,0.08012248,zkaejuwl_3.png,surprise
14,0.3140377,0.260226,0.6886143,0.48571765,0.08182914,0.0,0.119607225,0.7608903,0.0,0.014876837,0.10643813,0.2124799,0.26155478,1.0,0.6576559,0.061117325,0.9617529,0.5899402,0.27977937,0.026558716,wqkzqqvy_3.png,surprise
15,0.59282434,0.21736948,0.48651934,0.34696737,0.2176092,1.0,0.24769847,0.40326318,0.0,0.18327144,0.092113085,0.11799533,0.2232965,1.0,0.34638637,0.009790849,0.9999827,0.8771582,0.073238865,0.08248739,lfqyocvm_3.png,surprise
16,0.5494977,0.16256015,0.81818265,0.7014169,0.12634955,0.0,0.18194462,0.40764686,0.0,0.083672106,0.25121593,0.22812766,0.30115077,1.0,0.49451533,0.0059911534,0.99986017,0.935476,0.2572979,0.027372878,wjjygjvj_3.png,surprise
17,0.37678146,0.2752368,0.44648507,0.56632906,0.07967595,1.0,0.13040844,0.17092447,1.0,0.09833016,0.18073723,0.118860886,0.34645113,1.0,0.3822286,0.03414146,0.86322993,0.42213833,0.05778655,0.036114033,fojuwvxh_3.png,surprise
18,0.2457226,0.23842034,0.6079865,0.5914538,0.09013105,1.0,0.16831015,0.0070969993,1.0,0.20042273,0.43113852,0.13355938,0.2972693,1.0,0.12448527,0.050370578,0.9939757,0.5587228,0.034179583,0.04590386,zoftjjst_3.png,surprise
19,0.3208107,0.09114289,0.619402,0.6831239,0.14297292,0.0,0.13407534,0.19485058,1.0,0.032725304,0.18133642,0.32875374,0.36497548,1.0,0.4204133,0.038852643,0.99944943,0.3589078,0.12336965,0.09979738,ztcoaext_3.png,surprise
20,0.40778947,0.20434509,0.61978567,0.7115098,0.10337993,0.0,0.23365286,0.24447796,0.0,0.2324814,0.2592579,0.12171916,0.25444117,1.0,0.30028307,0.006244274,0.9985045,0.9685734,0.07013238,0.05600462,rtetvbsu_3.png,surprise
21,0.37744474,0.12537226,0.6966397,0.4766313,0.0882706,0.0,0.21903712,0.5446124,0.0,0.05529873,0.3890932,0.40101767,0.36712256,1.0,0.28219515,0.021036055,0.99997103,0.86410856,0.036242858,0.028269319,xmrjcpkj_3.png,surprise
22,0.24464694,0.102347635,0.41573542,0.55098623,0.24236703,0.0,0.15674968,0.27720258,1.0,0.08069087,0.05986193,0.18182296,0.226294,1.0,0.2981457,0.013117288,0.999718,0.8583916,0.059652597,0.14562361,ojnvzpri_3.png,surprise
23,0.28614154,0.34330285,0.4635554,0.66784585,0.07576268,1.0,0.2328375,0.1435011,0.0,0.288866,0.39291596,0.29949477,0.25798908,1.0,0.2814688,0.02748089,0.99993074,0.8168237,0.0977201,0.031920258,cbqhfqhg_3.png,surprise
24,0.46169823,0.2887909,0.7326645,0.58688885,0.19555159,1.0,0.1679746,0.5597275,0.0,0.109721325,0.09708368,0.06750937,0.26370683,1.0,0.20173949,0.0060783206,0.99990344,0.89269817,0.08535349,0.114774235,asddkkkk_3.png,surprise
25,0.27345562,0.23172474,0.48056433,0.72979563,0.12860592,0.0,0.11825554,0.0736083,1.0,0.024772257,0.16225024,0.13911073,0.37197417,1.0,0.38511008,0.03313283,0.99675936,0.80776054,0.016959494,0.08983705,zwotwatl_3.png,surprise
26,0.5697224,0.08738413,0.47460654,0.53936505,0.1311931,0.0,0.16765034,0.8131001,0.0,0.12452982,0.2912256,0.14371483,0.40551287,1.0,0.2153813,0.016292417,0.9988381,0.33983818,0.20570536,0.03628994,whszdxnp_3.png,surprise
27,0.26161042,0.11340573,0.39298582,0.71063334,0.05606791,0.0,0.14249988,0.078427605,0.0,0.03949025,0.2058434,0.24243943,0.36275733,1.0,0.36042747,0.0069006835,0.99936956,0.850469,0.07191335,0.033142567,qrksgfai_3.png,surprise
28,0.38205475,0.1459105,0.5983732,0.40495723,0.10379424,0.0,0.20384258,0.11072002,1.0,0.039786596,0.18886304,0.194551,0.34958214,1.0,0.33643606,0.08710381,0.9745618,0.6638185,0.05328332,0.0915446,zafkhrga_3.png,surprise
29,0.40260568,0.22650093,0.69638705,0.41735598,0.11129412,0.0,0.13270088,0.016621336,1.0,0.026889581,0.14900622,0.057184022,0.44183144,0.0,0.31779104,0.34954157,0.35021934,0.076040365,0.045503393,0.033663247,fbnnepzj_3.png,surprise
30,0.34333327,0.2078391,0.28999546,0.696465,0.092055775,0.0,0.12708318,0.0079291295,0.0,0.015669717,0.1470073,0.48842388,0.37752402,1.0,0.34063566,0.06954711,0.78498745,0.21851537,0.06359111,0.05839965,ctpoagcc_3.png,surprise
31,0.4078998,0.15269937,0.5899086,0.63411576,0.053621393,0.0,0.18787256,0.033675916,0.0,0.02601988,0.2498611,0.16863853,0.29154858,0.0,0.25471586,0.20637797,0.5159257,0.16283496,0.238817,0.0376333,wceelbeh_3.png,surprise
32,0.39428392,0.08373466,0.8268714,0.54409325,0.13052244,0.0,0.23262437,0.15518956,0.0,0.05041003,0.18529129,0.16269648,0.2928734,1.0,0.25359002,0.005334502,0.9999207,0.9741504,0.043700524,0.060672045,crskduzr_3.png,surprise
33,0.5455052,0.18623623,0.5229613,0.4617425,0.07524808,0.0,0.15163112,0.030579124,0.0,0.06034382,0.2627094,0.13846044,0.31729236,1.0,0.28203878,0.023444632,0.9999461,0.93371266,0.049022906,0.09251295,wsilvbnt_3.png,surprise
34,0.5224506,0.24831423,0.40560064,0.74599713,0.09541122,1.0,0.24731264,0.22753443,0.0,0.064188085,0.19851913,0.1635098,0.25049105,1.0,0.224562,0.008294387,0.9999434,0.97847646,0.11682895,0.08170911,jfshkmoo_3.png,surprise
35,0.47251204,0.1257097,0.5917605,0.72833586,0.08727561,0.0,0.15581621,0.0042297477,0.0,0.031270925,0.05371234,0.2143831,0.29139575,0.0,0.23118514,0.015720235,0.98501104,0.5462897,0.06974892,0.037811283,etuaucnw_3.png,surprise
36,0.57058734,0.08360069,0.43081883,0.6841111,0.13213708,0.0,0.21012503,0.11410809,1.0,0.10360089,0.12516718,0.18089376,0.33826,1.0,0.34885648,0.007483616,0.9999759,0.95653117,0.082418524,0.032785796,gqwnasgj_3.png,surprise
37,0.2835645,0.11747758,0.37976342,0.6798541,0.08666611,0.0,0.16338435,0.0033144997,1.0,0.02066366,0.13075362,0.29381984,0.3802433,0.0,0.217692,0.042519245,0.99566,0.60814595,0.10295562,0.045093954,kwgamqip_3.png,surprise
38,0.27189475,0.21490386,0.33931383,0.5675088,0.13169229,0.0,0.11709543,0.088039584,0.0,0.14122114,0.25074568,0.25774533,0.25918695,1.0,0.37874514,0.0059809703,0.9999957,0.9787119,0.052172348,0.03412712,inomhdtg_3.png,surprise
39,0.33937874,0.2514086,0.30761045,0.6711847,0.08023709,1.0,0.09412477,0.02740666,0.0,0.041948937,0.14840746,0.32776663,0.38621944,1.0,0.42873007,0.027029628,0.9994753,0.91709864,0.0610838,0.06575178,xumyjykg_3.png,surprise
40,0.52723926,0.22437002,0.7632178,0.48577148,0.13266593,0.0,0.22533114,0.5475582,0.0,0.049780067,0.16371623,0.3146147,0.24202736,1.0,0.27372703,0.025419883,0.99977535,0.8590378,0.08642554,0.058044862,bklrrowh_3.png,surprise
41,0.39640468,0.109818995,0.683888,0.49837536,0.14010398,0.0,0.19595738,0.20087518,0.0,0.03609474,0.09935066,0.1688741,0.2705055,1.0,0.27976805,0.0063318196,0.99998224,0.98115784,0.060136136,0.07369054,zzjhhvmc_3.png,surprise
42,0.21886005,0.20501408,0.29237676,0.6042703,0.1486348,0.0,0.12557568,0.6469738,0.0,0.11684299,0.23705962,0.17755601,0.23418595,1.0,0.20219901,0.0060645053,0.999775,0.81112045,0.007246215,0.035064347,lkjllknl_3.png,surprise
43,0.44111946,0.15192547,0.6800234,0.5340362,0.115601614,0.0,0.16418937,0.2080284,0.0,0.028215062,0.1198521,0.30478558,0.36363882,1.0,0.2626317,0.028146204,0.99990785,0.7555177,0.033589885,0.105387285,sbemdnkc_3.png,surprise
44,0.5094199,0.23357128,0.47802705,0.53853005,0.09328437,1.0,0.273102,0.29205117,1.0,0.11970317,0.12457489,0.047276113,0.26108918,1.0,0.23855378,0.008488634,0.99962413,0.86634636,0.03254885,0.045182616,pioxfrys_3.png,surprise
45,0.3940968,0.22954479,0.31483632,0.7027826,0.09055899,1.0,0.17844734,0.3597235,0.0,0.13001151,0.18510689,0.25078714,0.22091171,1.0,0.25301808,0.013956169,0.9999825,0.9363781,0.04981062,0.087195545,utqrtafo_3.png,surprise
46,0.24274343,0.08283635,0.29667774,0.71509963,0.11353487,0.0,0.10959982,0.2512615,0.0,0.0522325,0.09200475,0.084665425,0.26830894,1.0,0.2001769,0.023779396,0.99992085,0.953951,0.02689852,0.04147754,ffmkwylx_3.png,surprise
47,0.34052104,0.20107539,0.5083823,0.5462765,0.12862259,0.0,0.26241416,0.10935295,1.0,0.048735354,0.26415342,0.065096475,0.28440368,1.0,0.19342272,0.014447961,0.9999399,0.86395454,0.12056862,0.07722615,wgkyemdl_3.png,surprise
48,0.43950585,0.13231036,0.37338376,0.62162787,0.046055656,0.0,0.12111387,0.21508837,0.0,0.02496131,0.29921386,0.19619493,0.38533965,0.0,0.20942476,0.074228145,0.9759629,0.24964586,0.12783007,0.039581764,gtyrlgol_3.png,surprise
49,0.5233038,0.4642965,0.2643762,0.59722954,0.11318571,0.0,0.16813774,0.31513426,0.0,0.08350903,0.54010385,0.30231208,0.33953255,0.0,0.26771674,0.35298535,0.93230665,0.16546069,0.41326553,0.09719422,pfcosrvf_3.png,surprise
50,0.5688793,0.26640162,0.8258508,0.47450894,0.16612059,0.0,0.22940814,0.30945563,0.0,0.041234154,0.09670185,0.3393074,0.22285803,1.0,0.31303686,0.005449717,0.99991727,0.95140743,0.017331714,0.101520136,rgndtxlx_3.png,surprise
51,0.36455464,0.18509673,0.59291303,0.46258128,0.23126325,0.0,0.28168985,0.013763553,0.0,0.055931374,0.11196204,0.13853,0.19798622,1.0,0.182241,0.008453817,0.9993456,0.9667603,0.011903721,0.115116,keawnuue_3.png,surprise
52,0.42505026,0.1881084,0.29074806,0.6761133,0.13890219,0.0,0.25880587,0.0011945775,0.0,0.15662722,0.3020982,0.22156541,0.3322711,1.0,0.18932992,0.024880925,0.99998236,0.6824513,0.05308551,0.06497015,qqiijjkk_3.png,surprise
53,0.22177246,0.12280078,0.8303939,0.6212114,0.05275903,0.0,0.12725034,0.047950007,0.0,0.025501978,0.21636546,0.14453425,0.40855372,0.0,0.35736847,0.2623476,0.9909766,0.8733056,0.1416278,0.05617808,jiqlojlk_3.png,surprise
54,0.39581767,0.15267833,0.76699,0.5750456,0.064473286,0.0,0.17601247,0.11069388,0.0,0.038426828,0.35627168,0.0674388,0.23522663,1.0,0.1721255,0.015908146,0.9987124,0.916855,0.13800745,0.037352666,rqjithwi_3.png,surprise
55,0.43056515,0.23461553,0.45865375,0.48847282,0.14696392,0.0,0.11270975,0.8411685,0.0,0.02753285,0.062412698,0.12680317,0.2900912,1.0,0.2942281,0.02005169,0.9997738,0.7148307,0.25368845,0.032701537,uoteepll_3.png,surprise
56,0.38730663,0.20427087,0.20599227,0.7406877,0.07744005,0.0,0.1672475,0.004521979,0.0,0.01608846,0.11287142,0.15414505,0.3404457,1.0,0.21303657,0.040471707,0.9884077,0.55688965,0.09546414,0.06821555,ecjnqoew_3.png,surprise
57,0.5770723,0.21644112,0.6333375,0.7504212,0.17783517,0.0,0.19138713,0.006309131,0.0,0.074784786,0.23490126,0.11660119,0.22647491,1.0,0.45683932,0.008572062,0.99993217,0.9461965,0.10171978,0.09714667,ljgoepod_3.png,surprise
