,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,file,label
0,0.25045437,0.29717115,0.30269212,0.32518223,0.2445502,0.0,0.34506965,0.9848739,1.0,0.09535138,0.29225463,0.33790374,0.316184,1.0,0.42461452,0.35581443,0.9834283,0.344625,0.503852,0.3039298,cucduvud_3.png,surprise
1,0.32470864,0.32081753,0.5008916,0.29059768,0.29550862,1.0,0.47504544,0.91876525,0.0,0.33254382,0.44136932,0.40330607,0.31925482,1.0,0.51520205,0.17683986,0.9975988,0.43491894,0.12343515,0.55515116,vqnamybe_3.png,surprise
2,0.32782042,0.30585638,0.25727195,0.34005794,0.13965392,1.0,0.388175,0.56418633,0.0,0.15207027,0.52234757,0.10642101,0.39878225,1.0,0.5785642,0.10537457,0.9876627,0.45989236,0.67384636,0.19496243,eqtkxinb_3.png,surprise
3,0.52121204,0.37513766,0.54373443,0.36526707,0.2187085,1.0,0.49936715,0.65055484,0.0,0.22838093,0.25439823,0.18087408,0.311589,1.0,0.78953284,0.16427444,0.9113627,0.18795042,0.20968819,0.47070232,melvpral_3.png,surprise
4,0.3337442,0.17652461,0.5979017,0.37206715,0.3099712,1.0,0.3621821,0.83883977,0.0,0.14268346,0.33966464,0.100213446,0.22809505,1.0,0.5347567,0.014227655,0.99970275,0.81029403,0.02014827,0.358091,pojoopop_3.png,surprise
5,0.41180927,0.41791677,0.21819867,0.3844544,0.13871159,0.0,0.31998456,0.21916315,0.0,0.09523834,0.27363816,0.1384716,0.36560458,1.0,0.36444396,0.10803633,0.98768544,0.27385646,0.16307017,0.26347637,alzbfyrn_3.png,surprise
6,0.25282678,0.099685766,0.3028298,0.3225678,0.15048906,1.0,0.44735742,0.33123508,1.0,0.17183171,0.22434656,0.1992775,0.40789548,0.0,0.8265829,0.33886206,0.9379147,0.19497885,0.12027583,0.4662068,krmeebtm_3.png,surprise
7,0.37219253,0.3787451,0.36204293,0.39956498,0.24402238,1.0,0.38213688,0.16835916,1.0,0.13433568,0.23324049,0.14709371,0.42147702,0.0,0.6284755,0.34351087,0.79578245,0.18920133,0.28268334,0.4505266,fttytjgc_3.png,surprise
8,0.23082706,0.21826454,0.43502247,0.29626048,0.29063177,1.0,0.42810228,0.24507903,1.0,0.13162217,0.18117124,0.1607014,0.6437334,0.0,0.50534636,0.42367443,0.79191816,0.12187946,0.72072786,0.4844139,uurxhten_3.png,surprise
9,0.26921517,0.12106716,0.57305914,0.3402918,0.17792647,0.0,0.49453086,0.005103146,0.0,0.19183306,0.24970631,0.07293905,0.39601222,0.0,0.31923524,0.34003937,0.6961244,0.074007146,0.19629836,0.32077125,mrmgfmqw_3.png,surprise
10,0.28620574,0.11285485,0.4251582,0.35152718,0.23176444,0.0,0.34989733,0.003087362,0.0,0.078886084,0.221472,0.059634063,0.36431456,1.0,0.36108822,0.058182463,0.9826331,0.1991514,0.087377034,0.28628308,cpebixcq_3.png,surprise
11,0.3932017,0.15924166,0.56283826,0.3256673,0.17814171,1.0,0.54101896,0.0037886812,0.0,0.18775636,0.23841113,0.041944988,0.4772226,0.0,0.4156794,0.32224494,0.398793,0.063772805,0.13982297,0.26014915,khcaglme_3.png,surprise
12,0.28610653,0.29367024,0.31395864,0.45754838,0.09232405,0.0,0.2259906,0.00047736763,1.0,0.04761391,0.18386738,0.1492559,0.3727487,0.0,0.31048107,0.2256797,0.2803958,0.09458627,0.02145179,0.13199005,pceskzjd_3.png,surprise
13,0.4907808,0.4462385,0.66192746,0.38457316,0.114130795,1.0,0.45519575,0.94852626,1.0,0.14560841,0.3328979,0.1757066,0.33035135,1.0,0.70324075,0.15418886,0.97189605,0.56416833,0.2973699,0.4521952,zkaejuwl_3.png,surprise
14,0.46091455,0.3010756,0.30028623,0.39647534,0.14247745,0.0,0.38700482,0.027195634,0.0,0.14367796,0.47568306,0.2598394,0.32299715,1.0,0.5283776,0.3834212,0.27155307,0.15896694,0.26759535,0.13011375,wqkzqqvy_3.png,surprise
15,0.30769587,0.14571464,0.45664757,0.28860438,0.3908891,1.0,0.39846483,0.039702073,0.0,0.39565337,0.33255705,0.62230396,0.31439197,1.0,0.6096684,0.0869699,0.98503876,0.36989275,0.37395313,0.39670283,lfqyocvm_3.png,surprise
16,0.4153658,0.23376134,0.47660795,0.2540911,0.21123308,0.0,0.42461255,0.108997986,0.0,0.08745676,0.22267611,0.22798009,0.31703943,1.0,0.53850496,0.20510633,0.9866303,0.50785905,0.43877462,0.4157393,wjjygjvj_3.png,surprise
17,0.3266736,0.16220084,0.44386983,0.38825274,0.12982064,0.0,0.15561807,0.035175428,1.0,0.07180983,0.71171486,0.2286268,0.24061233,1.0,0.23634692,0.14989209,0.8930461,0.21755993,0.052042577,0.09281783,fojuwvxh_3.png,surprise
18,0.31067532,0.5451709,0.39913124,0.3229782,0.12767312,0.0,0.31386665,0.50412416,0.0,0.18504918,0.67987156,0.119966984,0.24658486,1.0,0.52015543,0.068182774,0.99643815,0.5261208,0.047826156,0.1241356,zoftjjst_3.png,surprise
19,0.3921402,0.16853724,0.34471598,0.41294396,0.14211364,1.0,0.47522902,0.527011,1.0,0.14419974,0.20077957,0.21864636,0.3543161,1.0,0.36144134,0.26344582,0.96369207,0.13379388,0.04463269,0.14468592,ztcoaext_3.png,surprise
20,0.3714484,0.32773578,0.6303154,0.28705922,0.35093984,0.0,0.5088573,0.4948362,0.0,0.28479168,0.33548483,0.5563015,0.35157153,1.0,0.5911838,0.08930047,0.9907603,0.708303,0.33119667,0.46546042,rtetvbsu_3.png,surprise
21,0.38393366,0.13951315,0.41156033,0.32380974,0.2252076,0.0,0.36803615,0.36097583,0.0,0.11063336,0.66549546,0.13508156,0.3244035,1.0,0.54232055,0.14933315,0.97863775,0.26789817,0.12882756,0.12532142,xmrjcpkj_3.png,surprise
22,0.3510385,0.20935312,0.34665093,0.31182653,0.19760029,0.0,0.34476545,0.059347913,0.0,0.13563119,0.16810003,0.2919983,0.4991103,1.0,0.62825954,0.19589742,0.9626206,0.3319609,0.36798757,0.43726924,ojnvzpri_3.png,surprise
23,0.22826372,0.4042785,0.5437033,0.32643342,0.1836557,0.0,0.42218354,0.03835944,0.0,0.24179864,0.6566013,0.14732662,0.4024279,1.0,0.41572315,0.449455,0.3654457,0.20251784,0.1672713,0.31935257,cbqhfqhg_3.png,surprise
24,0.40491587,0.3572897,0.61756176,0.35976002,0.22264788,0.0,0.4137638,0.7455835,0.0,0.2404,0.29167476,0.20665568,0.32863584,1.0,0.64144564,0.12220271,0.9897411,0.6232296,0.32725456,0.45441887,asddkkkk_3.png,surprise
